OS-lambda-0.9,OS-lambda-0.45,OS-lambda-0.0
-131.0,1738.0,1335.0
-258.0,1912.0,260.0
-356.0,1531.0,1265.0
-329.0,1526.0,-63.0
-150.0,1532.0,1509.0
-354.0,1338.0,1184.0
-107.0,1544.0,-266.0
-112.0,1221.0,1393.0
-360.0,1486.0,-338.0
-67.0,-311.0,243.0
-401.0,57.0,1195.0
3.0,-922.0,1178.0
-132.0,-374.0,993.0
-186.0,111.0,37.0
3.0,-150.0,1148.0
-356.0,38.0,1266.0
-320.0,203.0,1423.0
-293.0,-392.0,231.0
-320.0,27.0,-374.0
-149.0,180.0,1242.0
-302.0,1139.0,1132.0
-392.0,-105.0,-356.0
-311.0,-58.0,-329.0
-277.0,1466.0,-329.0
-332.0,-320.0,1468.0
-201.0,1457.0,1474.0
-257.0,1285.0,-156.0
-320.0,-45.0,-329.0
-320.0,1151.0,1199.0
-629.0,221.0,1426.0
48.0,1215.0,1229.0
-177.0,638.0,1228.0
-155.0,1471.0,1180.0
-356.0,1501.0,-266.0
-320.0,-338.0,107.0
-320.0,1286.0,888.0
-211.0,-356.0,1039.0
-285.0,-293.0,-338.0
-191.0,1231.0,-81.0
-320.0,1012.0,1211.0
-89.0,-211.0,1310.0
-311.0,-320.0,1240.0
-215.0,-320.0,-90.0
-392.0,1526.0,1033.0
-177.0,1526.0,1476.0
-329.0,1328.0,1103.0
-329.0,1514.0,-330.0
-200.0,1716.0,1180.0
-338.0,1514.0,1191.0
-390.0,1490.0,-38.0
-293.0,-90.0,1475.0
-392.0,1548.0,1355.0
-320.0,1544.0,1277.0
-401.0,1516.0,1634.0
-392.0,1502.0,1402.0
-311.0,-114.0,1285.0
-218.0,168.0,37.0
-188.0,1324.0,1056.0
-283.0,1726.0,1277.0
-356.0,1724.0,356.0
-129.0,-675.0,-98.0
-199.0,1741.0,-220.0
-289.0,1529.0,-530.0
-366.0,1547.0,1295.0
-320.0,-129.0,1291.0
-1217.0,1731.0,1291.0
-318.0,1519.0,-45.0
-257.0,1524.0,1686.0
-288.0,1540.0,1725.0
-293.0,1296.0,1489.0
-293.0,1301.0,1532.0
-181.0,-70.0,1291.0
-374.0,1293.0,1494.0
-224.0,-219.0,1321.0
-41.0,1547.0,-338.0
-176.0,-123.0,1313.0
-13.0,-374.0,1492.0
-166.0,1728.0,1325.0
1531.0,-14.0,1502.0
-293.0,1305.0,1293.0
1732.0,1507.0,-320.0
-320.0,-338.0,-203.0
1527.0,-50.0,1274.0
-293.0,-87.0,1291.0
-150.0,29.0,1325.0
-160.0,1480.0,-150.0
223.0,1534.0,1317.0
-392.0,1532.0,-105.0
-279.0,-293.0,-227.0
-293.0,1538.0,1289.0
-302.0,3.0,1286.0
-224.0,1733.0,1310.0
-401.0,1530.0,1514.0
-681.0,1331.0,1304.0
-43.0,1723.0,-126.0
-262.0,1499.0,96.0
-329.0,-338.0,-257.0
-453.0,-320.0,-302.0
-200.0,-392.0,1495.0
-87.0,-356.0,1498.0
1332.0,-338.0,1471.0
1530.0,-338.0,1292.0
-302.0,-27.0,1283.0
-352.0,1332.0,-293.0
-174.0,112.0,1493.0
-311.0,-392.0,-320.0
1525.0,-123.0,1709.0
-356.0,-392.0,1460.0
-32.0,-374.0,-356.0
-374.0,-116.0,-205.0
-114.0,-266.0,-257.0
-168.0,-63.0,1670.0
145.0,-230.0,-374.0
-392.0,-311.0,-356.0
-141.0,-329.0,1702.0
-158.0,-239.0,-168.0
-106.0,1284.0,1297.0
-203.0,37.0,-293.0
-221.0,1738.0,1483.0
84.0,-230.0,-293.0
-163.0,-356.0,1295.0
-392.0,1528.0,209.0
-320.0,1332.0,-320.0
-302.0,1530.0,-302.0
66.0,1544.0,1287.0
-392.0,-132.0,1504.0
-320.0,-320.0,1286.0
-317.0,-356.0,-150.0
-320.0,1739.0,1294.0
-400.0,-392.0,132.0
-356.0,-392.0,1297.0
-214.0,84.0,1499.0
186.0,1493.0,-259.0
-257.0,-266.0,11.0
-356.0,23.0,1284.0
-401.0,1286.0,1302.0
-392.0,-239.0,84.0
-320.0,1295.0,30.0
-87.0,-45.0,1299.0
-329.0,-215.0,1496.0
1332.0,1493.0,1723.0
1532.0,-264.0,3.0
-230.0,1294.0,1507.0
-356.0,1502.0,1291.0
-243.0,1491.0,-153.0
2.0,1303.0,1301.0
-338.0,1288.0,1289.0
-32.0,1299.0,1291.0
-268.0,1291.0,1284.0
-232.0,1287.0,1296.0
-311.0,1494.0,1283.0
-320.0,1289.0,176.0
1532.0,1273.0,1296.0
-302.0,46.0,-329.0
-311.0,1290.0,-356.0
-57.0,48.0,1491.0
-392.0,1295.0,1294.0
-329.0,-329.0,-320.0
205.0,-61.0,1289.0
-96.0,-213.0,1477.0
-374.0,-36.0,1296.0
151.0,1500.0,1519.0
-159.0,1493.0,1487.0
-195.0,-159.0,-338.0
-54.0,-311.0,39.0
-356.0,1281.0,-117.0
-338.0,1528.0,1285.0
-356.0,1295.0,-293.0
-338.0,1290.0,1531.0
438.0,-105.0,-14.0
-166.0,-374.0,1491.0
-361.0,77.0,66.0
1511.0,-356.0,-15.0
-356.0,-132.0,-293.0
-311.0,-38.0,1298.0
-311.0,-311.0,-302.0
32.0,-338.0,220.0
128.0,1725.0,93.0
102.0,-144.0,1294.0
1310.0,-320.0,-374.0
-176.0,-293.0,1498.0
-356.0,-401.0,1296.0
111.0,39.0,-87.0
-195.0,48.0,3.0
-444.0,-338.0,-320.0
-32.0,-105.0,1293.0
-329.0,-329.0,-203.0
-163.0,-320.0,111.0
-43.0,-15.0,671.0
1489.0,-329.0,-311.0
1498.0,1719.0,1277.0
-248.0,1514.0,1499.0
-90.0,111.0,48.0
1505.0,1280.0,1272.0
-293.0,1297.0,1464.0
1535.0,1314.0,1270.0
-302.0,1741.0,1296.0
-329.0,-248.0,1496.0
-87.0,-329.0,1493.0
-329.0,-123.0,-27.0
-511.0,1290.0,-150.0
-392.0,-321.0,1692.0
1282.0,1480.0,-34.0
-329.0,-338.0,-87.0
1296.0,1723.0,1281.0
-338.0,1487.0,1300.0
-338.0,-197.0,1279.0
-105.0,-356.0,1310.0
224.0,230.0,-329.0
1500.0,1320.0,1294.0
-338.0,-329.0,134.0
-105.0,-209.0,-338.0
-374.0,1335.0,-35.0
-257.0,174.0,-195.0
-392.0,1507.0,-101.0
-320.0,1280.0,-338.0
-311.0,1488.0,-302.0
-151.0,-188.0,1286.0
