OS-lambda-0.9,OS-lambda-0.45,OS-lambda-0.0
-550.0,-93.0,1520.0
-203.0,-854.0,333.0
-271.0,1663.0,138.0
-193.0,1257.0,55.0
-111.0,-311.0,1698.0
-573.0,-293.0,1297.0
-339.0,109.0,620.0
-302.0,171.0,1201.0
-319.0,-35.0,1099.0
-249.0,1177.0,1255.0
-15.0,1347.0,1110.0
-311.0,167.0,2.0
154.0,1180.0,1271.0
-124.0,-513.0,1448.0
-161.0,-145.0,1066.0
-392.0,1224.0,194.0
-356.0,1268.0,-338.0
-195.0,1197.0,45.0
-132.0,1282.0,1409.0
1530.0,-118.0,1247.0
-168.0,1575.0,1288.0
-54.0,1220.0,1354.0
-299.0,1609.0,1444.0
-17.0,-392.0,1477.0
-80.0,-131.0,1422.0
-392.0,-109.0,1241.0
-356.0,1354.0,1139.0
-177.0,1494.0,1285.0
-72.0,1409.0,1150.0
-302.0,1174.0,1220.0
-356.0,1216.0,1213.0
-163.0,1034.0,1480.0
-305.0,1361.0,1608.0
-392.0,1290.0,-302.0
-329.0,1263.0,-320.0
-177.0,1026.0,171.0
36.0,1405.0,-212.0
-87.0,1304.0,193.0
-392.0,998.0,-392.0
-117.0,-320.0,-338.0
-43.0,-356.0,-230.0
-67.0,-159.0,1022.0
-333.0,-333.0,-329.0
-320.0,-1.0,-31.0
-63.0,1301.0,-212.0
-274.0,1125.0,-143.0
-196.0,1206.0,1459.0
-354.0,1278.0,1340.0
-329.0,856.0,1115.0
-89.0,114.0,-230.0
-329.0,1458.0,1364.0
-151.0,1189.0,1479.0
-105.0,1289.0,-87.0
-108.0,1317.0,1490.0
-311.0,1326.0,1298.0
-329.0,1706.0,172.0
-320.0,1625.0,1488.0
-374.0,1521.0,1296.0
-316.0,1730.0,1276.0
-293.0,-29.0,1277.0
-302.0,1534.0,1314.0
-215.0,1527.0,1471.0
-54.0,1296.0,21.0
-356.0,-329.0,-356.0
-112.0,-212.0,-374.0
-190.0,1315.0,-221.0
-101.0,-266.0,1296.0
-392.0,1731.0,-53.0
-8.0,-37.0,-311.0
-159.0,-356.0,1333.0
-273.0,1292.0,-311.0
-203.0,-338.0,-374.0
-96.0,-132.0,-356.0
-550.0,1532.0,1296.0
-447.0,1516.0,1296.0
1332.0,-212.0,-104.0
1523.0,-374.0,1533.0
-356.0,-311.0,-293.0
181.0,-320.0,1532.0
1734.0,-392.0,1336.0
1532.0,1494.0,1729.0
-36.0,-374.0,1726.0
-293.0,-155.0,1275.0
-201.0,-40.0,-195.0
-320.0,440.0,1527.0
-154.0,44.0,1532.0
-374.0,1324.0,-320.0
-246.0,1302.0,-239.0
-356.0,1317.0,1495.0
-203.0,1319.0,259.0
-356.0,1517.0,-54.0
-118.0,163.0,1536.0
-173.0,1516.0,1300.0
-329.0,1498.0,66.0
-338.0,-45.0,-338.0
-356.0,-40.0,14.0
-235.0,1332.0,-257.0
-356.0,-320.0,-212.0
-126.0,-105.0,1486.0
-106.0,-338.0,-338.0
-392.0,1529.0,-186.0
-1408.0,1502.0,1724.0
-392.0,-374.0,1517.0
-222.0,-338.0,1529.0
-302.0,-158.0,1523.0
-242.0,1727.0,-127.0
-44.0,704.0,1326.0
1523.0,-294.0,-392.0
-142.0,12.0,1291.0
-320.0,1340.0,1525.0
1334.0,-195.0,1715.0
35.0,1310.0,1336.0
16.0,-329.0,1494.0
-450.0,1522.0,1499.0
-45.0,1924.0,1331.0
-392.0,127.0,1521.0
1531.0,-293.0,175.0
-355.0,1728.0,-230.0
1532.0,1529.0,1279.0
-311.0,-63.0,80.0
-230.0,-401.0,1264.0
-141.0,-374.0,1286.0
1532.0,-149.0,-329.0
-338.0,-392.0,1495.0
1334.0,-338.0,1676.0
-123.0,-6.0,1510.0
1538.0,-302.0,12.0
-293.0,-257.0,1291.0
77.0,-320.0,-159.0
1332.0,-320.0,-105.0
465.0,-97.0,1480.0
-356.0,235.0,1283.0
-54.0,-73.0,-392.0
-168.0,-105.0,1305.0
-258.0,1482.0,1317.0
-264.0,-435.0,-217.0
-392.0,-329.0,-356.0
-155.0,194.0,1494.0
-311.0,1279.0,1497.0
-320.0,1296.0,-141.0
-149.0,1292.0,1276.0
1331.0,1297.0,1313.0
-106.0,1308.0,1537.0
-338.0,-374.0,1338.0
-356.0,-311.0,1507.0
-374.0,-329.0,133.0
-258.0,-293.0,1529.0
-94.0,102.0,1330.0
-542.0,1528.0,-28.0
-320.0,39.0,1290.0
-392.0,-392.0,51.0
-1714.0,1498.0,1285.0
-247.0,-302.0,1690.0
-116.0,1724.0,1492.0
-271.0,-329.0,19.0
-338.0,1534.0,1517.0
-237.0,-320.0,-329.0
-320.0,-329.0,-320.0
-230.0,-293.0,1296.0
-392.0,-320.0,47.0
-392.0,-329.0,41.0
-374.0,-186.0,1295.0
-329.0,-15.0,-356.0
-87.0,-392.0,-320.0
-374.0,-392.0,-284.0
-356.0,-27.0,1296.0
-206.0,-302.0,1296.0
-329.0,-392.0,-212.0
-273.0,-392.0,-329.0
-374.0,71.0,-293.0
-311.0,-374.0,36.0
-129.0,1702.0,-141.0
-239.0,-183.0,1714.0
1540.0,-257.0,1273.0
1509.0,1906.0,1294.0
-77.0,-203.0,1493.0
-293.0,-221.0,1271.0
-239.0,-329.0,-87.0
-356.0,1498.0,-320.0
1.0,216.0,1532.0
180.0,-103.0,-338.0
1531.0,1498.0,1493.0
1528.0,-58.0,1496.0
-338.0,-123.0,-221.0
-302.0,-38.0,1281.0
-27.0,-69.0,-293.0
-392.0,1285.0,-356.0
-169.0,-329.0,1534.0
-374.0,-374.0,1476.0
1732.0,-161.0,-320.0
-338.0,-230.0,-159.0
423.0,32.0,-356.0
-329.0,-338.0,180.0
62.0,-203.0,1269.0
-320.0,1293.0,12.0
-329.0,-329.0,1289.0
-257.0,-221.0,1290.0
-356.0,-203.0,1316.0
1732.0,1703.0,1281.0
-132.0,1300.0,-49.0
-234.0,-248.0,-254.0
-356.0,-356.0,1296.0
679.0,-320.0,1282.0
-356.0,-266.0,1510.0
1518.0,1496.0,1295.0
111.0,1294.0,1530.0
-320.0,1310.0,1515.0
1529.0,-183.0,-96.0
-275.0,1292.0,1466.0
-320.0,-15.0,1295.0
-356.0,1275.0,1516.0
-112.0,1501.0,1296.0
-132.0,-311.0,266.0
-219.0,-141.0,1314.0
-257.0,-15.0,-186.0
-320.0,-341.0,252.0
-106.0,145.0,1296.0
-356.0,1305.0,1288.0
-125.0,-204.0,1293.0
1724.0,1494.0,1272.0
-194.0,1499.0,1460.0
-98.0,1522.0,1680.0
-392.0,1693.0,1504.0
-203.0,1310.0,1289.0
-203.0,1288.0,1274.0
-207.0,1514.0,16.0
-863.0,-104.0,1723.0
-189.0,1485.0,1513.0
-138.0,1295.0,-203.0
-320.0,-293.0,1481.0
