OS-lambda-0.9,OS-lambda-0.45,OS-lambda-0.0
1944.0,1938.0,-43.0
-203.0,1188.0,-596.0
-97.0,1383.0,-838.0
-293.0,-320.0,-1826.0
-293.0,168.0,1788.0
-429.0,-374.0,1813.0
-440.0,1263.0,1576.0
-216.0,1245.0,-176.0
-411.0,-575.0,-51.0
-392.0,119.0,1299.0
-1943.0,-160.0,1399.0
-239.0,-329.0,-193.0
-374.0,1103.0,1274.0
-265.0,1185.0,-338.0
-900.0,1194.0,1224.0
-58.0,412.0,-203.0
-329.0,1157.0,1239.0
-356.0,1369.0,1062.0
-320.0,30.0,-635.0
-329.0,-98.0,-237.0
-164.0,1316.0,1043.0
-339.0,1190.0,61.0
-392.0,133.0,1234.0
206.0,1154.0,517.0
-302.0,1211.0,1064.0
-243.0,1608.0,1170.0
-329.0,131.0,1251.0
-374.0,1166.0,213.0
-320.0,1079.0,1257.0
41.0,-212.0,-203.0
-821.0,-69.0,-159.0
-480.0,-37.0,-15.0
-311.0,-392.0,-203.0
-374.0,1070.0,68.0
-270.0,1337.0,1096.0
-329.0,1536.0,1282.0
-38.0,-320.0,-15.0
-213.0,1168.0,-132.0
-500.0,804.0,-158.0
-329.0,1196.0,1352.0
-182.0,-159.0,1284.0
-374.0,-392.0,-356.0
-554.0,-70.0,30.0
-164.0,989.0,1279.0
-199.0,1091.0,-105.0
-224.0,1195.0,-141.0
-187.0,-329.0,1125.0
-114.0,-401.0,108.0
-241.0,-221.0,1235.0
-374.0,1150.0,358.0
-112.0,-165.0,1447.0
-311.0,-212.0,-293.0
-329.0,-311.0,1025.0
-140.0,1131.0,1413.0
-293.0,1160.0,-208.0
-547.0,1048.0,1353.0
-356.0,1455.0,1264.0
-344.0,161.0,1121.0
-103.0,1153.0,1246.0
-242.0,975.0,1487.0
-203.0,-361.0,-213.0
-285.0,-168.0,-256.0
-329.0,-329.0,1288.0
-130.0,-293.0,179.0
-118.0,641.0,1329.0
-128.0,1123.0,1534.0
-202.0,1504.0,-293.0
-6.0,1288.0,1295.0
-187.0,1509.0,1295.0
-26.0,1288.0,1279.0
-137.0,1722.0,-230.0
-162.0,-151.0,1295.0
-80.0,1533.0,1305.0
-356.0,1523.0,1511.0
-87.0,66.0,-338.0
-319.0,-176.0,1511.0
-323.0,-494.0,1291.0
-558.0,-201.0,1291.0
-111.0,-205.0,1487.0
