OS-lambda-0.9,OS-lambda-0.45,OS-lambda-0.0
-320.0,1741.0,1729.0
-224.0,317.0,-204.0
-44.0,1725.0,1407.0
-31.0,1288.0,1035.0
-293.0,3.0,1470.0
-193.0,1139.0,1258.0
-356.0,1288.0,1384.0
-224.0,125.0,1225.0
-214.0,12.0,1268.0
-338.0,1198.0,1681.0
-230.0,-176.0,1478.0
-196.0,1207.0,1246.0
-338.0,-239.0,1135.0
1530.0,942.0,1142.0
-320.0,-320.0,-101.0
-87.0,1248.0,1201.0
-159.0,1423.0,1511.0
180.0,1108.0,451.0
57.0,1287.0,-159.0
1319.0,-269.0,557.0
-338.0,1066.0,1630.0
-140.0,-293.0,187.0
21.0,1107.0,202.0
1540.0,1307.0,-311.0
-293.0,1368.0,1480.0
1329.0,1202.0,-392.0
-356.0,1229.0,84.0
100.0,-311.0,-105.0
-54.0,-89.0,1022.0
1332.0,1294.0,1173.0
-105.0,-356.0,376.0
1332.0,1140.0,986.0
1341.0,1470.0,202.0
1334.0,-206.0,-338.0
-87.0,1162.0,-356.0
-167.0,1145.0,-320.0
-257.0,-195.0,-329.0
102.0,-329.0,-311.0
-195.0,-11.0,1215.0
-311.0,-114.0,-238.0
-30.0,1229.0,1075.0
-282.0,-11.0,1572.0
-265.0,-329.0,435.0
-197.0,-266.0,1650.0
-70.0,-168.0,119.0
-352.0,1310.0,1294.0
-68.0,-392.0,1425.0
-54.0,1228.0,-356.0
-329.0,187.0,-221.0
-257.0,1280.0,1313.0
-177.0,-212.0,1088.0
-74.0,-293.0,-267.0
-392.0,-302.0,-338.0
-338.0,-401.0,-374.0
-329.0,-356.0,-212.0
-392.0,1458.0,1742.0
-356.0,1325.0,1528.0
-347.0,-356.0,21.0
-88.0,-7.0,1531.0
-374.0,-15.0,-433.0
-707.0,1294.0,3.0
-247.0,-124.0,-356.0
1271.0,-173.0,1296.0
-356.0,-392.0,-27.0
-138.0,27.0,-254.0
-320.0,1435.0,1308.0
-374.0,-356.0,-36.0
-478.0,162.0,-87.0
-311.0,-374.0,1531.0
1490.0,1044.0,1329.0
-329.0,1110.0,0.0
-392.0,-293.0,-320.0
-295.0,66.0,1497.0
-311.0,-293.0,1285.0
-293.0,-392.0,1304.0
-109.0,39.0,111.0
-115.0,1728.0,1525.0
-320.0,-392.0,1527.0
-148.0,-150.0,-293.0
-186.0,-212.0,-342.0
-329.0,1527.0,1537.0
-143.0,3.0,161.0
-108.0,-356.0,-186.0
-195.0,325.0,1533.0
-227.0,-356.0,-338.0
-392.0,-329.0,1330.0
-221.0,-27.0,1328.0
-177.0,-338.0,-392.0
-25.0,-302.0,1299.0
-311.0,-54.0,1271.0
-236.0,-239.0,-221.0
1347.0,1295.0,-356.0
1296.0,1314.0,1288.0
-150.0,1294.0,-356.0
43.0,1523.0,108.0
-356.0,138.0,1296.0
-392.0,1492.0,1720.0
26.0,1729.0,1288.0
-320.0,1531.0,-392.0
-356.0,263.0,1938.0
-31.0,1531.0,1516.0
102.0,-183.0,1524.0
-212.0,-392.0,-28.0
1680.0,-356.0,-329.0
-329.0,-19.0,-392.0
-329.0,1521.0,1538.0
-302.0,1530.0,-81.0
-374.0,1511.0,79.0
-171.0,1317.0,1303.0
-87.0,1282.0,1711.0
1283.0,-392.0,-320.0
-320.0,1308.0,1291.0
-338.0,-329.0,198.0
-391.0,-392.0,19.0
37.0,-47.0,193.0
-392.0,1488.0,76.0
-209.0,1286.0,1485.0
-329.0,1286.0,-221.0
-392.0,1716.0,1294.0
-392.0,1309.0,1271.0
-204.0,1298.0,1309.0
-123.0,-311.0,-230.0
432.0,1291.0,1310.0
-260.0,1517.0,1675.0
-78.0,1287.0,-338.0
-87.0,1325.0,1495.0
73.0,1302.0,1526.0
504.0,-329.0,1440.0
1524.0,-356.0,1496.0
-221.0,-392.0,-311.0
221.0,1496.0,1326.0
30.0,1492.0,-338.0
-743.0,-186.0,-374.0
-213.0,1514.0,-320.0
84.0,-356.0,-329.0
1293.0,1296.0,1487.0
-150.0,1281.0,3.0
-293.0,237.0,1296.0
1497.0,-392.0,-321.0
424.0,-257.0,1295.0
-141.0,-195.0,-257.0
102.0,1297.0,1497.0
-374.0,1291.0,1291.0
232.0,1290.0,-82.0
-329.0,1490.0,19.0
1716.0,1493.0,1295.0
-374.0,1724.0,1292.0
-311.0,1531.0,-133.0
1739.0,-195.0,-302.0
-105.0,-114.0,1542.0
1728.0,1295.0,1279.0
-329.0,1325.0,-320.0
40.0,1525.0,84.0
-338.0,1534.0,230.0
-392.0,1332.0,1281.0
-311.0,1331.0,1490.0
-392.0,1513.0,-293.0
-374.0,-230.0,1295.0
-356.0,2.0,-375.0
1296.0,-392.0,-392.0
1331.0,-183.0,-136.0
84.0,-329.0,1283.0
-293.0,49.0,1491.0
-159.0,-159.0,-42.0
-27.0,-329.0,1288.0
-293.0,-266.0,-159.0
-329.0,1730.0,-195.0
-392.0,1490.0,1482.0
84.0,-356.0,-374.0
412.0,30.0,1291.0
-176.0,-356.0,-195.0
3.0,-105.0,-374.0
-256.0,-329.0,34.0
-19.0,-87.0,80.0
-114.0,-320.0,184.0
-293.0,-320.0,-25.0
-73.0,-392.0,1271.0
-356.0,-302.0,-320.0
-293.0,1704.0,1293.0
1532.0,-98.0,1276.0
-329.0,1493.0,-39.0
5.0,57.0,-46.0
1532.0,1317.0,1731.0
-329.0,-356.0,-374.0
-150.0,-150.0,1501.0
1724.0,1528.0,-401.0
-15.0,-374.0,1515.0
-114.0,1726.0,-211.0
-132.0,-320.0,-125.0
-15.0,1725.0,1316.0
-189.0,-69.0,37.0
-356.0,-356.0,-43.0
1496.0,-338.0,1510.0
1298.0,-356.0,1486.0
-329.0,-392.0,-311.0
1499.0,-230.0,1511.0
1535.0,-293.0,-329.0
-329.0,250.0,-329.0
1279.0,-195.0,1311.0
1731.0,-356.0,223.0
1486.0,168.0,1317.0
-105.0,1298.0,-320.0
-221.0,-320.0,-141.0
-123.0,-392.0,-302.0
234.0,48.0,1304.0
-293.0,-266.0,-15.0
466.0,-329.0,30.0
-392.0,11.0,1300.0
-302.0,-123.0,1311.0
-104.0,-302.0,1703.0
-1147.0,-257.0,-248.0
-354.0,-56.0,223.0
84.0,177.0,1301.0
-200.0,1526.0,12.0
-356.0,-186.0,-151.0
-338.0,1295.0,-203.0
-159.0,1712.0,-136.0
1332.0,1535.0,1496.0
-392.0,1294.0,-199.0
84.0,1520.0,1502.0
-15.0,-329.0,-392.0
-45.0,200.0,1282.0
-114.0,-150.0,1498.0
192.0,-329.0,1489.0
-4.0,-329.0,1492.0
-27.0,-159.0,-392.0
-114.0,1487.0,1529.0
-392.0,1890.0,-300.0
-392.0,1304.0,-257.0
469.0,-186.0,1279.0
-311.0,-293.0,1288.0
-311.0,1279.0,-329.0
21.0,1288.0,1316.0
-293.0,1296.0,1291.0
1338.0,-392.0,178.0
-356.0,-320.0,1293.0
102.0,-356.0,1738.0
342.0,-356.0,1287.0
-374.0,1278.0,-329.0
-401.0,1490.0,240.0
-338.0,1294.0,-320.0
-311.0,-329.0,-356.0
1322.0,-329.0,-39.0
-54.0,-114.0,-293.0
1293.0,1490.0,1308.0
-374.0,1487.0,1302.0
1526.0,1499.0,1736.0
-317.0,1293.0,-211.0
-293.0,1302.0,-356.0
-320.0,1293.0,1305.0
-293.0,-311.0,1338.0
-311.0,-239.0,-105.0
-329.0,-329.0,1296.0
-212.0,-46.0,-172.0
83.0,-236.0,1316.0
-162.0,-293.0,-356.0
1281.0,1479.0,-151.0
98.0,1293.0,1265.0
-221.0,-212.0,-392.0
-347.0,-302.0,1492.0
-36.0,-338.0,42.0
1486.0,-320.0,1296.0
-329.0,-195.0,1286.0
-239.0,1337.0,-374.0
357.0,-257.0,7.0
-311.0,-200.0,-90.0
-69.0,1294.0,-248.0
1513.0,-356.0,1534.0
173.0,1737.0,1300.0
-320.0,1491.0,-197.0
-1185.0,-293.0,1283.0
-338.0,-311.0,255.0
-243.0,1682.0,-45.0
-374.0,1503.0,1294.0
1314.0,1478.0,1327.0
-123.0,-280.0,102.0
168.0,1730.0,1893.0
-356.0,1291.0,1310.0
109.0,1491.0,1493.0
1284.0,1274.0,1332.0
-105.0,1485.0,1513.0
102.0,-392.0,66.0
1305.0,1533.0,1291.0
1297.0,-338.0,217.0
1334.0,1290.0,1274.0
-320.0,1292.0,-195.0
-329.0,1519.0,-320.0
-320.0,1293.0,66.0
12.0,1322.0,1506.0
1500.0,427.0,-356.0
-90.0,1299.0,1282.0
-257.0,1716.0,1498.0
-350.0,1296.0,1509.0
-239.0,1475.0,191.0
-356.0,-311.0,-130.0
178.0,1300.0,-302.0
-320.0,222.0,118.0
-183.0,1915.0,1294.0
-87.0,1270.0,1298.0
1490.0,1496.0,1301.0
