OS-lambda-0.9,OS-lambda-0.45,OS-lambda-0.0
-309.0,1734.0,1538.0
-374.0,1139.0,1044.0
-193.0,-225.0,-320.0
-134.0,1428.0,13.0
-239.0,75.0,122.0
-392.0,1048.0,-195.0
-261.0,-307.0,-293.0
-374.0,1243.0,66.0
-221.0,-77.0,-150.0
-338.0,1021.0,-66.0
-270.0,1257.0,1085.0
-465.0,1026.0,1127.0
-233.0,94.0,-356.0
-392.0,1083.0,1468.0
-257.0,1365.0,1270.0
-220.0,146.0,-248.0
-401.0,1401.0,49.0
-535.0,1212.0,-173.0
-329.0,214.0,-133.0
-372.0,1274.0,-258.0
-338.0,1110.0,-311.0
-329.0,172.0,102.0
-447.0,398.0,1615.0
-19.0,1023.0,-212.0
32.0,1269.0,1262.0
-401.0,1090.0,1147.0
-320.0,1266.0,171.0
-329.0,1212.0,1282.0
-704.0,1056.0,-182.0
-392.0,1225.0,-45.0
-231.0,1190.0,-356.0
-22.0,1205.0,1194.0
-218.0,1242.0,39.0
-356.0,25.0,1230.0
-401.0,-323.0,-293.0
-320.0,1411.0,30.0
-339.0,208.0,-139.0
-243.0,144.0,-336.0
-147.0,1002.0,-119.0
-215.0,1126.0,-338.0
-293.0,1190.0,1103.0
-171.0,-356.0,-186.0
-504.0,1120.0,1160.0
-392.0,1206.0,-263.0
-179.0,-215.0,-329.0
-161.0,1509.0,1240.0
-241.0,1137.0,1239.0
-821.0,1028.0,1277.0
-329.0,1276.0,1216.0
-265.0,1248.0,21.0
-338.0,1125.0,1237.0
-320.0,1045.0,1163.0
-356.0,1192.0,1432.0
-223.0,1261.0,1451.0
-434.0,1196.0,1181.0
-293.0,1134.0,115.0
-197.0,-114.0,1264.0
35.0,1505.0,163.0
-392.0,1290.0,-239.0
-329.0,1734.0,136.0
-187.0,-293.0,1202.0
-286.0,1532.0,1319.0
-564.0,-138.0,1499.0
-186.0,1294.0,502.0
-212.0,1529.0,-356.0
-338.0,1489.0,-54.0
-217.0,1332.0,191.0
-194.0,182.0,1308.0
-766.0,1528.0,-392.0
-15.0,1708.0,378.0
1331.0,1254.0,1303.0
-329.0,1522.0,-320.0
-320.0,-338.0,105.0
-169.0,-329.0,1296.0
-356.0,-329.0,-114.0
-218.0,66.0,1292.0
-332.0,-392.0,245.0
-76.0,141.0,1293.0
-13.0,1521.0,1286.0
184.0,-150.0,1304.0
-392.0,-203.0,1290.0
-392.0,-356.0,400.0
1738.0,-141.0,1295.0
-338.0,-329.0,1917.0
-133.0,-27.0,1482.0
-87.0,-77.0,86.0
-133.0,128.0,1306.0
-356.0,1495.0,-69.0
-213.0,1530.0,-320.0
-311.0,-374.0,-329.0
-175.0,-209.0,1701.0
-320.0,1308.0,1294.0
-356.0,1732.0,202.0
-42.0,1328.0,-159.0
-323.0,-36.0,1473.0
-356.0,1302.0,1277.0
-320.0,617.0,1494.0
-311.0,1509.0,-338.0
-172.0,-168.0,1290.0
-329.0,-374.0,1295.0
-293.0,1532.0,-230.0
26.0,1295.0,1498.0
-168.0,1321.0,10.0
224.0,1721.0,-105.0
-128.0,-320.0,-54.0
-80.0,30.0,165.0
1306.0,-329.0,-84.0
-230.0,-235.0,1535.0
-69.0,1292.0,1493.0
-349.0,1496.0,-87.0
-401.0,1535.0,-392.0
1495.0,-374.0,1294.0
18.0,1487.0,-329.0
-236.0,1274.0,-257.0
-78.0,1304.0,-15.0
-179.0,66.0,-320.0
-320.0,-44.0,1291.0
-356.0,-101.0,-392.0
-293.0,-322.0,1297.0
-301.0,1706.0,1486.0
-311.0,592.0,-392.0
396.0,1496.0,1295.0
-105.0,1280.0,1303.0
187.0,1517.0,1312.0
1293.0,1485.0,1277.0
-356.0,1730.0,1302.0
-392.0,1727.0,-45.0
1296.0,1519.0,5.0
1281.0,-345.0,1497.0
-356.0,1295.0,1260.0
250.0,1488.0,1496.0
1498.0,1319.0,-311.0
-320.0,-338.0,1292.0
-374.0,-356.0,1294.0
-374.0,-329.0,1495.0
-338.0,271.0,1292.0
-90.0,111.0,-87.0
199.0,1331.0,1522.0
-374.0,-141.0,-45.0
-356.0,-320.0,-401.0
-203.0,-356.0,1490.0
1518.0,330.0,248.0
-293.0,1470.0,1297.0
396.0,119.0,-329.0
-374.0,1501.0,1277.0
1494.0,403.0,-142.0
-329.0,1280.0,423.0
-329.0,1504.0,1297.0
218.0,1284.0,1327.0
12.0,1329.0,1471.0
1293.0,1722.0,-320.0
-186.0,-87.0,183.0
1295.0,145.0,1287.0
43.0,-230.0,1494.0
1727.0,431.0,-132.0
-338.0,-141.0,1508.0
-302.0,1305.0,-87.0
-220.0,1518.0,1519.0
-27.0,-145.0,-69.0
-257.0,1525.0,-338.0
-183.0,1531.0,1494.0
-320.0,1472.0,1306.0
1508.0,14.0,1285.0
-15.0,1477.0,-356.0
-320.0,1306.0,1278.0
211.0,1286.0,1282.0
-356.0,1516.0,-214.0
-27.0,-258.0,1314.0
-114.0,1526.0,-55.0
-125.0,-293.0,1286.0
1726.0,1533.0,1322.0
1483.0,-293.0,-211.0
-141.0,1743.0,1301.0
-266.0,180.0,1292.0
-132.0,-36.0,1294.0
196.0,1523.0,1490.0
-218.0,89.0,1272.0
-374.0,-57.0,1490.0
-132.0,1289.0,1292.0
-392.0,-329.0,-311.0
-203.0,-320.0,1284.0
-338.0,-42.0,1746.0
145.0,1289.0,1485.0
211.0,-54.0,1680.0
21.0,-195.0,1299.0
-338.0,-186.0,1294.0
1291.0,1296.0,1276.0
256.0,48.0,-257.0
-356.0,456.0,-356.0
204.0,104.0,27.0
-293.0,-132.0,-150.0
-814.0,-320.0,-338.0
-195.0,-169.0,1297.0
-313.0,-329.0,1484.0
-221.0,-212.0,1334.0
-183.0,1296.0,1308.0
-169.0,1731.0,-338.0
-203.0,-236.0,-266.0
1289.0,1498.0,1539.0
-392.0,182.0,1295.0
-231.0,270.0,1309.0
-147.0,1293.0,1496.0
-392.0,-374.0,-320.0
-15.0,-132.0,188.0
55.0,37.0,1294.0
-221.0,-15.0,-36.0
-293.0,11.0,-239.0
-356.0,1282.0,1270.0
241.0,179.0,-325.0
-320.0,-320.0,1288.0
1310.0,84.0,-392.0
-320.0,1296.0,1276.0
1295.0,165.0,1267.0
1297.0,-338.0,-150.0
1503.0,-302.0,1492.0
1273.0,1310.0,1288.0
-186.0,1290.0,-293.0
-15.0,-356.0,-212.0
-320.0,1296.0,-374.0
-235.0,66.0,1323.0
-338.0,1311.0,1494.0
39.0,-245.0,1289.0
1290.0,1684.0,1681.0
1297.0,-186.0,-141.0
65.0,-356.0,-356.0
-132.0,-246.0,1287.0
-490.0,-114.0,1271.0
-311.0,-302.0,234.0
-221.0,-374.0,1305.0
1506.0,404.0,1921.0
1498.0,-105.0,1302.0
-392.0,-43.0,1535.0
204.0,1494.0,-36.0
-233.0,-329.0,-168.0
-356.0,-329.0,418.0
-356.0,21.0,-159.0
-69.0,-233.0,1713.0
-356.0,1496.0,-103.0
1285.0,1479.0,1294.0
-150.0,1291.0,1515.0
256.0,1281.0,1501.0
-230.0,1295.0,1495.0
1492.0,-401.0,1314.0
-78.0,-356.0,-329.0
39.0,48.0,1293.0
-320.0,1276.0,84.0
21.0,1284.0,-293.0
-392.0,1281.0,-329.0
1303.0,1294.0,-329.0
-293.0,1492.0,-338.0
1496.0,1303.0,-281.0
84.0,1293.0,1703.0
63.0,1723.0,-39.0
-302.0,1288.0,243.0
-329.0,-213.0,1294.0
-275.0,-356.0,1300.0
-1219.0,-356.0,-311.0
-88.0,-302.0,1279.0
-311.0,1491.0,-195.0
-216.0,1502.0,1487.0
-212.0,1292.0,1296.0
-665.0,1298.0,1301.0
-566.0,1496.0,1288.0
-219.0,-87.0,1481.0
-253.0,1298.0,1286.0
-338.0,1291.0,-76.0
-307.0,-35.0,26.0
-392.0,-392.0,1295.0
-293.0,110.0,77.0
-186.0,1522.0,1497.0
-257.0,1297.0,1493.0
1301.0,1495.0,1700.0
-186.0,-311.0,1297.0
1304.0,-257.0,1726.0
-311.0,1479.0,-356.0
-792.0,1473.0,1294.0
-329.0,1701.0,1298.0
-320.0,47.0,1299.0
-329.0,-104.0,1301.0
1503.0,1295.0,-54.0
73.0,39.0,1288.0
1511.0,-392.0,1491.0
60.0,409.0,-257.0
-293.0,1296.0,1496.0
-311.0,-392.0,-105.0
1296.0,-320.0,-4.0
30.0,1287.0,1322.0
-356.0,1296.0,1285.0
48.0,192.0,1316.0
-311.0,1489.0,1504.0
-63.0,-374.0,247.0
-392.0,1285.0,-22.0
-329.0,-311.0,1729.0
-338.0,1537.0,148.0
-116.0,1538.0,-392.0
-374.0,1498.0,1505.0
-329.0,-87.0,-123.0
-228.0,-356.0,1294.0
27.0,1715.0,-356.0
-374.0,-13.0,-338.0
