OS-lambda-0.9,OS-lambda-0.45,OS-lambda-0.0
-211.0,1743.0,-754.0
1531.0,-228.0,-2243.0
-338.0,1656.0,-109.0
-144.0,177.0,-315.0
-302.0,1468.0,-115.0
-69.0,-248.0,-356.0
-221.0,1098.0,-186.0
-161.0,1403.0,-311.0
-311.0,1692.0,111.0
-305.0,1454.0,1208.0
-346.0,20.0,1314.0
-81.0,218.0,1254.0
-338.0,1241.0,1428.0
-289.0,1417.0,1140.0
-374.0,1202.0,-293.0
-180.0,180.0,84.0
-356.0,1122.0,1395.0
-392.0,300.0,1257.0
-356.0,1280.0,1124.0
-128.0,-209.0,37.0
-320.0,-239.0,1033.0
-279.0,219.0,1123.0
-212.0,-329.0,-329.0
-311.0,-150.0,1740.0
-169.0,423.0,-293.0
-256.0,128.0,-311.0
-320.0,-35.0,1416.0
-329.0,-320.0,-67.0
-293.0,1260.0,1498.0
-255.0,-96.0,-294.0
-220.0,-311.0,-86.0
-346.0,1417.0,-324.0
-392.0,-169.0,335.0
65.0,-221.0,1406.0
-374.0,1495.0,215.0
-213.0,-69.0,-112.0
-113.0,1334.0,-357.0
-203.0,1918.0,155.0
-142.0,1321.0,427.0
-362.0,1945.0,1588.0
-242.0,1737.0,1472.0
-293.0,1730.0,1147.0
-266.0,99.0,1017.0
-311.0,-293.0,1478.0
-320.0,-392.0,-371.0
-45.0,-320.0,-221.0
12.0,39.0,1469.0
1532.0,-239.0,-329.0
-35.0,-39.0,1359.0
-236.0,-212.0,1452.0
-320.0,-320.0,1084.0
-356.0,-320.0,1498.0
-81.0,1509.0,100.0
-320.0,1295.0,-338.0
-560.0,1311.0,-621.0
-151.0,-374.0,1158.0
-209.0,1286.0,1680.0
-285.0,26.0,-356.0
-226.0,-249.0,1489.0
-239.0,1490.0,145.0
-108.0,1282.0,1281.0
-338.0,1491.0,-356.0
-320.0,-221.0,-329.0
-317.0,1528.0,1310.0
-199.0,-392.0,1520.0
-338.0,-117.0,1285.0
-356.0,-63.0,1295.0
-279.0,-275.0,1516.0
-110.0,-356.0,1479.0
-356.0,-203.0,1296.0
-105.0,1495.0,-392.0
-76.0,-195.0,1702.0
-96.0,-203.0,1284.0
-320.0,1681.0,430.0
-107.0,-203.0,261.0
-329.0,1294.0,1712.0
-265.0,1304.0,1264.0
-89.0,1525.0,-311.0
59.0,118.0,1283.0
-329.0,1487.0,-212.0
-338.0,-257.0,1509.0
-473.0,1294.0,1515.0
-560.0,181.0,1490.0
-701.0,-338.0,-356.0
-223.0,1291.0,202.0
-320.0,-105.0,-356.0
-228.0,1296.0,1290.0
-111.0,-293.0,-135.0
-356.0,1503.0,-105.0
-401.0,-69.0,1293.0
-344.0,1507.0,247.0
-356.0,-40.0,1280.0
-118.0,-392.0,1295.0
-392.0,1340.0,1287.0
-94.0,1678.0,-311.0
-248.0,-267.0,1290.0
-246.0,1295.0,1296.0
-276.0,1704.0,181.0
-356.0,1320.0,1494.0
-203.0,1479.0,1296.0
-392.0,1701.0,1291.0
-356.0,1296.0,-1.0
-356.0,1291.0,1304.0
-320.0,1322.0,1291.0
-9.0,-319.0,191.0
-202.0,1287.0,1288.0
-224.0,1290.0,1496.0
-413.0,1296.0,1286.0
