OS-lambda-0.9,OS-lambda-0.45,OS-lambda-0.0
-401.0,1539.0,1513.0
-76.0,-43.0,-106.0
-338.0,358.0,-132.0
-861.0,-150.0,-69.0
-213.0,-46.0,-28.0
-320.0,1432.0,152.0
-1187.0,-28.0,1420.0
-11.0,1476.0,832.0
-526.0,1476.0,-150.0
-136.0,291.0,1448.0
-234.0,1279.0,380.0
-85.0,-392.0,1273.0
-246.0,-329.0,-69.0
-176.0,1357.0,-374.0
-64.0,1257.0,1211.0
-69.0,-311.0,1234.0
-203.0,-142.0,1551.0
-234.0,-117.0,1189.0
-279.0,-329.0,1398.0
-100.0,254.0,-374.0
-338.0,-311.0,1058.0
-135.0,-45.0,967.0
-198.0,73.0,1276.0
-196.0,-293.0,-347.0
-234.0,-356.0,1225.0
-266.0,-36.0,1232.0
-987.0,-374.0,67.0
-320.0,-356.0,84.0
-320.0,-120.0,1275.0
-313.0,-320.0,-311.0
-288.0,-374.0,1291.0
-199.0,-232.0,-186.0
-203.0,-392.0,-167.0
-491.0,1318.0,171.0
-392.0,-311.0,1545.0
-212.0,140.0,1163.0
-125.0,-299.0,1478.0
-467.0,102.0,221.0
-230.0,-42.0,14.0
-356.0,-294.0,1271.0
-320.0,-329.0,66.0
-356.0,-186.0,1356.0
-392.0,84.0,1187.0
-401.0,-293.0,-252.0
-374.0,128.0,-124.0
-329.0,-311.0,-159.0
-9.0,-329.0,1331.0
-606.0,-293.0,1458.0
-232.0,-338.0,188.0
-248.0,-329.0,1299.0
-338.0,-392.0,239.0
-114.0,1492.0,1161.0
29.0,-222.0,1500.0
-302.0,-231.0,208.0
-374.0,-120.0,-329.0
-247.0,201.0,-6.0
-598.0,-257.0,-230.0
-527.0,-230.0,1243.0
-320.0,228.0,1189.0
-351.0,48.0,1356.0
-96.0,77.0,-392.0
-329.0,1156.0,3.0
-262.0,1002.0,1425.0
-301.0,1372.0,-154.0
-374.0,1258.0,1274.0
-205.0,1404.0,1477.0
-188.0,1257.0,-262.0
-285.0,1147.0,1258.0
-293.0,-374.0,1167.0
-392.0,-191.0,1225.0
-293.0,-374.0,939.0
-294.0,-392.0,1123.0
-392.0,1489.0,-374.0
-779.0,1390.0,-401.0
-301.0,180.0,1243.0
16.0,-45.0,1230.0
-338.0,-114.0,1475.0
-271.0,1110.0,-150.0
-356.0,1253.0,-320.0
-392.0,-320.0,171.0
-230.0,-221.0,1506.0
-239.0,84.0,-356.0
-311.0,-87.0,-34.0
-392.0,-197.0,1507.0
-216.0,1600.0,-266.0
-39.0,1171.0,-356.0
-356.0,1694.0,-320.0
-228.0,-367.0,-320.0
-152.0,-194.0,-302.0
-128.0,-178.0,1492.0
-100.0,-111.0,-258.0
-90.0,1494.0,231.0
-374.0,-275.0,224.0
-73.0,1202.0,1297.0
-329.0,-73.0,200.0
-311.0,-263.0,1516.0
-549.0,-325.0,1498.0
-132.0,1288.0,1484.0
-14.0,1695.0,1476.0
-302.0,-56.0,83.0
-159.0,-153.0,1312.0
-311.0,1523.0,1509.0
-320.0,1328.0,1287.0
57.0,1732.0,1508.0
-36.0,1529.0,-257.0
1296.0,1717.0,1278.0
-150.0,1525.0,1520.0
-467.0,1275.0,-293.0
-239.0,1542.0,1290.0
-329.0,1732.0,-105.0
-239.0,-311.0,1483.0
-181.0,1328.0,1295.0
-69.0,1525.0,-150.0
-302.0,89.0,420.0
-338.0,-211.0,1296.0
-239.0,1291.0,1277.0
-290.0,-293.0,73.0
-322.0,111.0,1485.0
84.0,135.0,-293.0
-311.0,1537.0,1505.0
-392.0,1522.0,1484.0
-161.0,1525.0,-293.0
-218.0,1733.0,-401.0
-275.0,1522.0,1484.0
-177.0,1305.0,1498.0
-311.0,1499.0,1296.0
-924.0,1686.0,142.0
-149.0,-356.0,73.0
-311.0,1745.0,1309.0
-200.0,1729.0,1294.0
-356.0,1527.0,1310.0
-231.0,1495.0,1285.0
-302.0,-302.0,1297.0
-219.0,1492.0,87.0
-392.0,-374.0,1499.0
-74.0,1745.0,1296.0
1296.0,1331.0,1286.0
1296.0,1302.0,-123.0
-87.0,-392.0,1492.0
-40.0,1504.0,-141.0
-329.0,1718.0,-293.0
-293.0,1283.0,1496.0
658.0,1332.0,1273.0
-150.0,1529.0,1299.0
1497.0,-356.0,1293.0
-338.0,3.0,1296.0
30.0,-320.0,1493.0
-309.0,1926.0,1320.0
30.0,56.0,1298.0
-320.0,-293.0,1306.0
1292.0,-356.0,-392.0
-329.0,1293.0,1286.0
102.0,-101.0,1291.0
1309.0,-329.0,1294.0
400.0,-392.0,-203.0
-105.0,1286.0,1290.0
-356.0,1483.0,454.0
-87.0,1704.0,1267.0
160.0,-336.0,1306.0
-392.0,155.0,-257.0
-320.0,-356.0,-392.0
-506.0,-105.0,1295.0
-320.0,124.0,-320.0
-120.0,-320.0,1280.0
-308.0,1492.0,-239.0
-278.0,1278.0,1295.0
-356.0,1489.0,1506.0
-250.0,-56.0,-374.0
-155.0,1295.0,1296.0
-131.0,1513.0,30.0
-503.0,-356.0,-36.0
-338.0,-374.0,1304.0
