OS-lambda-0.9,OS-lambda-0.45,OS-lambda-0.0
1529.0,1543.0,-694.0
1536.0,-98.0,-608.0
-212.0,214.0,-1065.0
-80.0,-282.0,1380.0
-329.0,1229.0,1489.0
-51.0,-271.0,-267.0
-331.0,1298.0,1136.0
-441.0,1212.0,241.0
-374.0,-186.0,-63.0
-293.0,-141.0,-133.0
-178.0,-150.0,-287.0
-386.0,-329.0,1077.0
-211.0,-392.0,1729.0
-257.0,-320.0,107.0
-226.0,-47.0,1206.0
-25.0,-320.0,34.0
-239.0,-194.0,1389.0
-293.0,-586.0,1220.0
-136.0,-59.0,-230.0
-256.0,-311.0,1185.0
-374.0,-254.0,1448.0
-206.0,-320.0,-105.0
-268.0,-150.0,1257.0
-265.0,-320.0,1254.0
-329.0,1287.0,1507.0
-356.0,177.0,-249.0
-18.0,1242.0,-128.0
-368.0,-392.0,1391.0
-320.0,-392.0,-333.0
-259.0,-199.0,1066.0
-198.0,1243.0,1260.0
-338.0,1448.0,-248.0
-104.0,1251.0,1189.0
-392.0,-293.0,1274.0
-632.0,-329.0,-392.0
1238.0,-392.0,1410.0
35.0,1250.0,1690.0
-147.0,40.0,-98.0
31.0,-155.0,-329.0
-311.0,-330.0,1023.0
-136.0,-392.0,139.0
1449.0,1395.0,1407.0
-329.0,314.0,-320.0
-374.0,94.0,1108.0
-203.0,-320.0,127.0
-374.0,-221.0,1486.0
-240.0,-329.0,-141.0
-195.0,1537.0,1311.0
-239.0,1221.0,1203.0
-311.0,197.0,-222.0
-129.0,-338.0,1483.0
-113.0,-356.0,-36.0
-392.0,85.0,-150.0
-356.0,-179.0,1674.0
-302.0,-75.0,-338.0
-60.0,-117.0,1353.0
7.0,-2.0,1213.0
-38.0,1695.0,21.0
-311.0,83.0,-218.0
-39.0,1250.0,25.0
-221.0,1158.0,84.0
-38.0,1294.0,1155.0
-221.0,1322.0,-178.0
-356.0,1293.0,1304.0
-271.0,1494.0,1237.0
-392.0,1518.0,1409.0
-293.0,1292.0,136.0
-317.0,1290.0,1292.0
-374.0,-155.0,1297.0
-141.0,1525.0,1923.0
-119.0,1492.0,1284.0
-356.0,1312.0,123.0
-306.0,1327.0,1498.0
-159.0,84.0,-266.0
1332.0,1481.0,1695.0
127.0,-374.0,1291.0
-185.0,-329.0,1256.0
73.0,1282.0,1487.0
-168.0,1266.0,1282.0
202.0,1294.0,1290.0
-36.0,1294.0,1284.0
-150.0,-356.0,1491.0
1322.0,-293.0,69.0
-221.0,-196.0,1278.0
-97.0,-338.0,1287.0
-48.0,-186.0,1696.0
-329.0,1308.0,-266.0
-159.0,1487.0,-204.0
-293.0,1495.0,39.0
-356.0,1290.0,1483.0
-392.0,1479.0,1322.0
-50.0,1526.0,1293.0
-94.0,1495.0,-356.0
-231.0,166.0,1291.0
-302.0,1732.0,193.0
-105.0,1521.0,-70.0
-230.0,423.0,-258.0
-329.0,-311.0,-392.0
-482.0,1716.0,1502.0
-329.0,1528.0,-65.0
-481.0,1730.0,-320.0
-326.0,1476.0,1487.0
-285.0,1528.0,1296.0
-245.0,1491.0,1523.0
-304.0,1938.0,-320.0
-204.0,1526.0,1496.0
-392.0,1729.0,1296.0
-341.0,1530.0,1497.0
-200.0,1529.0,1289.0
-271.0,1325.0,-374.0
-230.0,1528.0,1498.0
-311.0,1727.0,-392.0
-392.0,1532.0,-392.0
-161.0,1491.0,1485.0
26.0,1925.0,48.0
-338.0,1682.0,1497.0
-228.0,1541.0,1293.0
111.0,-128.0,-374.0
-338.0,34.0,-374.0
1321.0,-329.0,1728.0
-335.0,-401.0,1303.0
-311.0,1488.0,1292.0
-244.0,-33.0,-150.0
-320.0,1296.0,1523.0
-121.0,-114.0,-87.0
-535.0,1294.0,1494.0
-374.0,1692.0,-329.0
-356.0,1715.0,1287.0
-356.0,1279.0,1317.0
467.0,1518.0,1481.0
-831.0,1302.0,1293.0
-206.0,1482.0,-29.0
-392.0,1306.0,-261.0
-50.0,1483.0,1495.0
-329.0,1487.0,201.0
180.0,1942.0,-218.0
1282.0,1519.0,1486.0
108.0,1342.0,12.0
-338.0,-72.0,1521.0
-56.0,1300.0,-320.0
39.0,-329.0,209.0
-356.0,1284.0,-329.0
-195.0,1485.0,-392.0
30.0,229.0,1300.0
-392.0,1318.0,-356.0
-320.0,401.0,-329.0
1311.0,1302.0,-329.0
-356.0,1311.0,-159.0
406.0,-329.0,30.0
-214.0,-81.0,-150.0
-401.0,1313.0,12.0
-140.0,66.0,-356.0
-343.0,-54.0,128.0
