OS-lambda-0.9,OS-lambda-0.45,OS-lambda-0.0
263.0,1344.0,-452.0
98.0,-303.0,-982.0
-39.0,-33.0,-595.0
-145.0,-37.0,1251.0
-168.0,118.0,1052.0
-293.0,-320.0,1171.0
-176.0,-374.0,-409.0
-250.0,-96.0,-113.0
41.0,-221.0,285.0
-18.0,-30.0,1394.0
-219.0,-293.0,1342.0
-338.0,-329.0,1904.0
-236.0,-38.0,1395.0
-239.0,1407.0,1201.0
-257.0,1393.0,-338.0
-268.0,1496.0,-320.0
-320.0,199.0,-329.0
68.0,1407.0,1226.0
-392.0,1566.0,1250.0
-254.0,1029.0,1217.0
-15.0,-356.0,-320.0
-320.0,-374.0,-270.0
-329.0,-392.0,1091.0
106.0,-338.0,1673.0
-266.0,84.0,1849.0
-197.0,1110.0,-356.0
-236.0,1305.0,-293.0
-365.0,-392.0,1429.0
-139.0,-302.0,918.0
-230.0,1293.0,179.0
60.0,567.0,1251.0
-475.0,234.0,158.0
16.0,1499.0,1507.0
-449.0,1213.0,1251.0
-224.0,-356.0,-320.0
-374.0,-221.0,-329.0
-246.0,-320.0,-374.0
-212.0,1303.0,-283.0
-329.0,25.0,39.0
-37.0,-212.0,-320.0
-313.0,1164.0,-293.0
-320.0,1491.0,1206.0
-197.0,1172.0,-141.0
-212.0,1496.0,145.0
-563.0,1468.0,1058.0
-100.0,1233.0,1233.0
-347.0,1443.0,1177.0
-133.0,1235.0,-293.0
-356.0,160.0,1414.0
-392.0,-356.0,-45.0
-219.0,-309.0,-195.0
-202.0,1196.0,1318.0
-274.0,-219.0,-87.0
-293.0,-123.0,-356.0
-97.0,-356.0,1179.0
-509.0,-401.0,398.0
-320.0,-338.0,-392.0
-311.0,-356.0,214.0
-320.0,-392.0,1250.0
-302.0,1508.0,-294.0
-114.0,1495.0,-203.0
-146.0,-320.0,-747.0
-293.0,-195.0,1138.0
-190.0,-24.0,-33.0
-290.0,-87.0,178.0
-261.0,-293.0,1195.0
-347.0,-293.0,906.0
-293.0,1483.0,-340.0
-722.0,-238.0,-138.0
-189.0,183.0,1433.0
-302.0,-356.0,1229.0
-94.0,84.0,1430.0
-313.0,-293.0,-356.0
-286.0,-335.0,-249.0
-150.0,1291.0,1210.0
1732.0,1298.0,-27.0
-42.0,1307.0,1374.0
-302.0,1917.0,-322.0
1331.0,-320.0,1249.0
-329.0,1296.0,1198.0
-69.0,1512.0,1110.0
-150.0,1304.0,259.0
1293.0,-338.0,-302.0
-193.0,-15.0,-120.0
-356.0,1299.0,1459.0
-374.0,-311.0,1502.0
-293.0,1293.0,-87.0
-311.0,1483.0,1493.0
-218.0,1303.0,1292.0
-356.0,1489.0,1319.0
-59.0,1320.0,1294.0
1297.0,1488.0,-329.0
-114.0,1510.0,-89.0
-46.0,1316.0,1506.0
618.0,-302.0,-54.0
83.0,-356.0,1498.0
1330.0,-208.0,-112.0
1296.0,1296.0,-374.0
-236.0,-320.0,-20.0
-87.0,-108.0,-114.0
-320.0,21.0,-203.0
-261.0,-132.0,1329.0
-201.0,1492.0,1309.0
-246.0,1518.0,-293.0
-159.0,1492.0,-203.0
-182.0,-392.0,1698.0
-338.0,-195.0,-245.0
1732.0,-87.0,1281.0
66.0,-46.0,1501.0
-392.0,1495.0,-392.0
-186.0,1493.0,1502.0
-329.0,-219.0,1283.0
-113.0,1296.0,1484.0
-338.0,-88.0,-320.0
1936.0,57.0,159.0
-186.0,1306.0,1294.0
-293.0,-40.0,1278.0
1529.0,1476.0,-293.0
-239.0,-141.0,-105.0
-255.0,-392.0,1270.0
-257.0,-230.0,1298.0
-212.0,-195.0,-311.0
-138.0,128.0,-356.0
-293.0,-329.0,1674.0
102.0,-356.0,1693.0
30.0,-392.0,1308.0
403.0,-203.0,-266.0
-392.0,-302.0,-253.0
-374.0,-221.0,1535.0
-311.0,-338.0,1297.0
-78.0,-186.0,1706.0
-374.0,-141.0,1521.0
66.0,-338.0,1491.0
-329.0,-374.0,-123.0
-401.0,-374.0,-338.0
-392.0,-141.0,1336.0
-338.0,1532.0,-374.0
-329.0,1532.0,1481.0
10.0,1296.0,1313.0
1732.0,1308.0,1339.0
1301.0,-294.0,-392.0
-150.0,1293.0,-19.0
1293.0,14.0,1496.0
-374.0,1290.0,-311.0
180.0,33.0,-186.0
-392.0,147.0,-329.0
-27.0,1491.0,1492.0
-356.0,1528.0,1497.0
1531.0,1718.0,-221.0
-134.0,1300.0,-356.0
1319.0,1526.0,1497.0
-374.0,1725.0,30.0
-329.0,-212.0,-338.0
-356.0,252.0,-230.0
-401.0,1483.0,-27.0
-212.0,-392.0,1493.0
-401.0,1522.0,1292.0
-320.0,-47.0,1291.0
-293.0,1297.0,258.0
-320.0,-90.0,-34.0
-320.0,30.0,-311.0
-87.0,1493.0,1315.0
338.0,1296.0,1502.0
39.0,1270.0,1302.0
-374.0,1709.0,1685.0
-99.0,1491.0,1521.0
1498.0,-293.0,1296.0
-392.0,235.0,-338.0
1695.0,-356.0,-329.0
-150.0,-356.0,1512.0
-329.0,195.0,-374.0
1532.0,-257.0,-48.0
39.0,1720.0,-356.0
1511.0,1296.0,-141.0
-302.0,1303.0,-329.0
-293.0,-249.0,1280.0
-329.0,-38.0,1289.0
-36.0,1504.0,1538.0
107.0,1313.0,1296.0
-293.0,1504.0,1492.0
-87.0,-356.0,1519.0
-392.0,-356.0,1515.0
-392.0,-329.0,1275.0
-46.0,1296.0,-311.0
3.0,1485.0,197.0
-392.0,1297.0,1337.0
1296.0,-38.0,-87.0
-230.0,1307.0,1290.0
213.0,1284.0,1524.0
111.0,1500.0,-186.0
-151.0,1459.0,1283.0
-195.0,1312.0,1290.0
128.0,1284.0,-356.0
-329.0,1452.0,1321.0
-392.0,-105.0,1496.0
-311.0,-392.0,-27.0
-132.0,-168.0,1300.0
1272.0,-125.0,1305.0
-356.0,1315.0,-392.0
1288.0,1275.0,1293.0
-156.0,1518.0,-374.0
-451.0,1292.0,-320.0
1296.0,1296.0,1294.0
-192.0,1295.0,1288.0
-329.0,1290.0,1296.0
-114.0,-257.0,-230.0
1309.0,1274.0,1505.0
-161.0,-135.0,-320.0
1296.0,1303.0,1334.0
-356.0,-392.0,-49.0
66.0,-338.0,1293.0
-225.0,1296.0,1307.0
-338.0,1502.0,-87.0
-230.0,1275.0,1301.0
-320.0,1725.0,1736.0
1289.0,1653.0,1326.0
1307.0,1283.0,1303.0
-249.0,-105.0,1332.0
-329.0,-105.0,-195.0
-212.0,1498.0,-323.0
-15.0,1499.0,-356.0
1287.0,35.0,1491.0
-338.0,183.0,1495.0
-401.0,1533.0,1290.0
-356.0,1283.0,-293.0
-11.0,1501.0,-392.0
1334.0,1292.0,-356.0
1747.0,1297.0,-141.0
-239.0,3.0,1300.0
-293.0,-329.0,-329.0
1536.0,-27.0,1297.0
-126.0,1478.0,1290.0
-266.0,1316.0,1296.0
181.0,341.0,1494.0
