OS-lambda-0.9,OS-lambda-0.45,OS-lambda-0.0
-157.0,-1441.0,1538.0
-329.0,-939.0,1071.0
185.0,1396.0,1661.0
1329.0,1026.0,1299.0
-114.0,-137.0,1349.0
359.0,1260.0,1927.0
-329.0,-87.0,-338.0
9.0,155.0,-87.0
-177.0,1205.0,-320.0
-170.0,-315.0,-24.0
-311.0,1449.0,118.0
-273.0,-392.0,1506.0
1532.0,194.0,-293.0
-356.0,1076.0,-293.0
-401.0,1424.0,-55.0
-220.0,1246.0,-356.0
128.0,1233.0,-338.0
-168.0,1264.0,-186.0
-52.0,1255.0,77.0
-230.0,1487.0,-374.0
73.0,-135.0,154.0
-310.0,926.0,-329.0
-245.0,1334.0,1537.0
-161.0,1472.0,-28.0
-374.0,1226.0,-45.0
-329.0,1216.0,-87.0
-346.0,10.0,1511.0
-329.0,1190.0,-168.0
-218.0,1090.0,37.0
-694.0,1270.0,1303.0
-195.0,-329.0,1278.0
-151.0,-356.0,-243.0
-208.0,145.0,1489.0
48.0,-329.0,-392.0
-203.0,1060.0,1290.0
-191.0,1183.0,-164.0
-374.0,1026.0,-392.0
-320.0,951.0,-374.0
-137.0,1415.0,1490.0
-221.0,1504.0,-184.0
-348.0,-311.0,1281.0
-320.0,-138.0,1521.0
1534.0,1209.0,-199.0
-374.0,1414.0,-293.0
1332.0,-199.0,1276.0
-70.0,-374.0,-363.0
-329.0,-338.0,-284.0
-374.0,34.0,1534.0
-356.0,1420.0,-374.0
-237.0,1231.0,-392.0
-184.0,200.0,1312.0
-392.0,119.0,1316.0
-267.0,-53.0,1494.0
-293.0,1175.0,1293.0
-320.0,1149.0,1287.0
-287.0,1174.0,1303.0
-102.0,1361.0,1533.0
-392.0,1263.0,1285.0
-567.0,1508.0,-302.0
-203.0,-247.0,1284.0
-542.0,145.0,442.0
-790.0,-293.0,203.0
-320.0,-356.0,1297.0
-89.0,39.0,1336.0
-311.0,-329.0,128.0
-30.0,1271.0,1278.0
-696.0,202.0,1281.0
-320.0,21.0,1721.0
-294.0,-168.0,66.0
-298.0,1694.0,-320.0
-267.0,28.0,-56.0
-329.0,1497.0,-266.0
-329.0,1699.0,-87.0
-124.0,1297.0,-32.0
-392.0,1304.0,1501.0
-430.0,-141.0,193.0
-66.0,1157.0,1730.0
-120.0,140.0,1298.0
-337.0,1283.0,-356.0
-311.0,1690.0,1303.0
-166.0,-31.0,1506.0
-411.0,1296.0,1494.0
-246.0,1322.0,1731.0
-128.0,1528.0,1293.0
-329.0,-65.0,1293.0
-384.0,1695.0,1511.0
-72.0,-18.0,-311.0
-392.0,-329.0,-329.0
-212.0,1328.0,1520.0
-305.0,-329.0,112.0
-2265.0,-45.0,1490.0
-304.0,-195.0,1290.0
-356.0,400.0,-338.0
-399.0,1482.0,57.0
-270.0,1306.0,-320.0
-551.0,1296.0,-87.0
-211.0,56.0,-302.0
-205.0,-317.0,1285.0
-1954.0,1524.0,89.0
-105.0,1295.0,1528.0
-222.0,-311.0,1717.0
-329.0,-187.0,136.0
-42.0,1292.0,1287.0
-220.0,-311.0,-203.0
-374.0,-356.0,163.0
-520.0,1496.0,1704.0
-87.0,1294.0,1538.0
-338.0,-36.0,-242.0
-141.0,66.0,-338.0
-320.0,-230.0,1283.0
-127.0,1289.0,1483.0
-338.0,-356.0,-114.0
-196.0,25.0,-215.0
-221.0,-290.0,-70.0
-502.0,1309.0,-221.0
-137.0,1296.0,-338.0
-329.0,1532.0,-45.0
281.0,-392.0,-104.0
1524.0,-239.0,-103.0
-320.0,-338.0,1295.0
-392.0,-186.0,-374.0
-374.0,-338.0,1738.0
-374.0,-338.0,1729.0
1330.0,16.0,-338.0
191.0,-46.0,1293.0
37.0,-347.0,1725.0
-356.0,-392.0,1294.0
-302.0,-206.0,1496.0
-15.0,-45.0,-320.0
1532.0,111.0,-293.0
-329.0,-195.0,266.0
211.0,1513.0,-278.0
-203.0,66.0,1520.0
-338.0,1291.0,1288.0
-150.0,-329.0,1488.0
3.0,84.0,1496.0
-15.0,1532.0,1334.0
-356.0,1526.0,1468.0
1530.0,1724.0,1495.0
-159.0,-342.0,67.0
-374.0,1504.0,-302.0
1333.0,-221.0,1288.0
-195.0,-266.0,1286.0
-374.0,1533.0,1339.0
-356.0,1450.0,-253.0
-320.0,-293.0,1282.0
-131.0,1296.0,1503.0
-320.0,-329.0,-338.0
-317.0,1532.0,1909.0
-338.0,1718.0,-392.0
-293.0,1288.0,1492.0
506.0,-315.0,-392.0
-315.0,-329.0,1275.0
1332.0,211.0,1680.0
-574.0,1493.0,1296.0
1327.0,-130.0,-356.0
1730.0,1498.0,1490.0
-17.0,1486.0,1505.0
21.0,1506.0,-195.0
66.0,41.0,1291.0
-239.0,1548.0,1510.0
-356.0,1715.0,1487.0
-356.0,1513.0,1527.0
1545.0,1275.0,1289.0
-87.0,1291.0,-16.0
-356.0,1707.0,1279.0
-293.0,-150.0,1279.0
-338.0,-222.0,1514.0
48.0,-293.0,1710.0
1532.0,265.0,-168.0
1481.0,-123.0,1306.0
