OS-lambda-0.9,OS-lambda-0.45,OS-lambda-0.0
-293.0,-2255.0,1908.0
-110.0,-483.0,1096.0
301.0,1490.0,1250.0
-320.0,1694.0,-7.0
-301.0,1504.0,600.0
-329.0,1277.0,463.0
-584.0,-195.0,-415.0
-374.0,1117.0,-329.0
-320.0,1086.0,-314.0
-354.0,1875.0,-356.0
90.0,1270.0,-79.0
104.0,1649.0,3.0
-215.0,1165.0,-293.0
-211.0,1634.0,-311.0
-401.0,1170.0,-328.0
-582.0,1232.0,-297.0
-293.0,1127.0,39.0
-124.0,-329.0,1177.0
-275.0,1447.0,1153.0
-84.0,1545.0,1216.0
-302.0,1183.0,12.0
-392.0,-374.0,78.0
-238.0,-329.0,1280.0
-329.0,-320.0,1214.0
-211.0,1482.0,-320.0
-239.0,-329.0,292.0
-209.0,-374.0,1298.0
-102.0,-320.0,1380.0
-194.0,-293.0,-208.0
-440.0,54.0,1119.0
-356.0,48.0,1273.0
-274.0,1122.0,1067.0
-263.0,-320.0,1413.0
-212.0,104.0,-320.0
-338.0,1245.0,-171.0
-211.0,1162.0,-199.0
-203.0,1113.0,1260.0
-109.0,-275.0,1294.0
-224.0,-132.0,-180.0
-225.0,1243.0,1147.0
-435.0,1258.0,1409.0
-170.0,28.0,111.0
-169.0,1224.0,1257.0
-129.0,1281.0,1375.0
-242.0,-338.0,1276.0
-320.0,1182.0,-33.0
-138.0,1220.0,-195.0
-122.0,1187.0,159.0
-374.0,1512.0,1422.0
-320.0,1294.0,1211.0
-230.0,98.0,-392.0
-198.0,1263.0,-293.0
-329.0,1397.0,-302.0
-127.0,1278.0,1253.0
-356.0,1022.0,1263.0
-529.0,1248.0,1120.0
-356.0,-248.0,1223.0
-133.0,1329.0,66.0
-374.0,-253.0,1489.0
-392.0,1525.0,-27.0
-374.0,1516.0,-203.0
-356.0,179.0,1217.0
-338.0,1334.0,1284.0
-508.0,1538.0,1430.0
-320.0,-356.0,1149.0
-221.0,-374.0,1476.0
-356.0,48.0,1179.0
-269.0,-54.0,-268.0
-340.0,-17.0,-230.0
-248.0,281.0,44.0
-274.0,66.0,1251.0
-329.0,1733.0,1030.0
-197.0,1334.0,1200.0
-392.0,1315.0,-392.0
-248.0,-230.0,-769.0
-170.0,1530.0,1300.0
-374.0,1520.0,-217.0
-236.0,1728.0,-223.0
-343.0,1533.0,-366.0
-107.0,1535.0,1292.0
-323.0,1737.0,-275.0
-353.0,-212.0,1491.0
-426.0,-293.0,-71.0
-185.0,-401.0,-356.0
9.0,-239.0,-15.0
-356.0,1527.0,-392.0
-259.0,-392.0,4.0
-329.0,-320.0,1296.0
-215.0,-42.0,1325.0
-230.0,1326.0,1476.0
-284.0,-566.0,1291.0
-267.0,-160.0,371.0
-332.0,-255.0,-60.0
-502.0,-138.0,1295.0
-130.0,1296.0,1514.0
-293.0,1505.0,-203.0
-392.0,1347.0,1510.0
-122.0,1530.0,1520.0
-338.0,-76.0,258.0
-283.0,-356.0,-320.0
-178.0,3.0,1295.0
45.0,1527.0,-338.0
-231.0,-293.0,-17.0
-220.0,1512.0,-17.0
-388.0,1327.0,1293.0
-185.0,2124.0,1331.0
-481.0,1514.0,1729.0
-320.0,-392.0,1307.0
-266.0,1532.0,1271.0
-201.0,1515.0,-209.0
-156.0,1331.0,1500.0
-264.0,57.0,1292.0
-338.0,12.0,-293.0
-168.0,84.0,1290.0
-153.0,1296.0,1311.0
-293.0,1730.0,1492.0
-293.0,-141.0,1720.0
-374.0,1317.0,1309.0
1264.0,1293.0,1499.0
1080.0,1497.0,-356.0
-293.0,1274.0,-195.0
-203.0,-195.0,1296.0
-392.0,1523.0,1514.0
-356.0,-311.0,1522.0
-320.0,-320.0,-263.0
-208.0,-45.0,1292.0
-309.0,-239.0,1289.0
-328.0,-203.0,1295.0
-616.0,-356.0,1293.0
-320.0,-221.0,1295.0
-165.0,-230.0,-203.0
-221.0,-356.0,-320.0
-125.0,1336.0,1482.0
-293.0,1552.0,-87.0
-293.0,1534.0,-105.0
-327.0,68.0,-356.0
1398.0,1732.0,-392.0
-239.0,1308.0,-356.0
-311.0,1279.0,-123.0
-302.0,1737.0,-374.0
-221.0,1726.0,108.0
-329.0,1306.0,1291.0
-293.0,1518.0,12.0
-392.0,1536.0,-329.0
1300.0,-338.0,1490.0
-392.0,-150.0,1498.0
-147.0,1341.0,252.0
-338.0,1285.0,-338.0
1732.0,-401.0,30.0
-392.0,-329.0,213.0
-329.0,-320.0,-87.0
-320.0,-117.0,-195.0
1529.0,-302.0,1711.0
-311.0,-320.0,1298.0
21.0,1489.0,1482.0
-121.0,-20.0,1296.0
-239.0,1519.0,1308.0
-211.0,1304.0,1492.0
-199.0,-1221.0,1292.0
-374.0,-309.0,-92.0
-190.0,17.0,1501.0
43.0,163.0,1493.0
-1017.0,1498.0,1286.0
-227.0,1272.0,1724.0
-215.0,1285.0,-338.0
-338.0,1313.0,1481.0
122.0,1502.0,1292.0
-141.0,1730.0,650.0
1316.0,1516.0,-69.0
-329.0,1746.0,1482.0
-329.0,163.0,-34.0
-106.0,240.0,-27.0
30.0,118.0,-107.0
-401.0,1724.0,-356.0
-293.0,1720.0,1286.0
1507.0,1293.0,-94.0
1296.0,-392.0,1287.0
-14.0,-392.0,1296.0
-230.0,-203.0,1316.0
-374.0,-374.0,1284.0
-128.0,1497.0,1496.0
-320.0,-2.0,-320.0
-356.0,1295.0,1486.0
-356.0,1724.0,1512.0
1333.0,-87.0,-167.0
3.0,-356.0,1321.0
1498.0,82.0,1497.0
-221.0,-230.0,1292.0
-320.0,1295.0,1501.0
-249.0,1286.0,-252.0
-257.0,-63.0,1495.0
-132.0,-329.0,1290.0
-123.0,-168.0,1499.0
-136.0,-356.0,1499.0
1312.0,-293.0,1482.0
-356.0,1501.0,1499.0
-87.0,217.0,-322.0
15.0,-27.0,1530.0
243.0,-374.0,1273.0
-293.0,1298.0,1293.0
-311.0,1511.0,1303.0
-320.0,1305.0,1289.0
1317.0,163.0,1307.0
-504.0,1282.0,-141.0
-74.0,1296.0,1308.0
-356.0,-329.0,-374.0
1299.0,-356.0,39.0
-85.0,1501.0,1296.0
-239.0,1473.0,-168.0
-221.0,1282.0,1501.0
-329.0,1494.0,1312.0
-272.0,1537.0,1487.0
-392.0,1295.0,-293.0
-374.0,168.0,-293.0
-301.0,1494.0,-36.0
-220.0,1514.0,1523.0
-416.0,1294.0,1295.0
-374.0,-329.0,-338.0
-320.0,134.0,1518.0
-356.0,454.0,-320.0
1293.0,163.0,1298.0
1294.0,1505.0,1476.0
-137.0,212.0,1296.0
-374.0,-392.0,1296.0
-176.0,211.0,1307.0
-230.0,340.0,1291.0
-374.0,-356.0,-63.0
-356.0,1297.0,-203.0
-41.0,1732.0,446.0
91.0,1514.0,-132.0
-392.0,-374.0,1501.0
-293.0,165.0,1487.0
-159.0,1537.0,-374.0
1300.0,1302.0,-266.0
1493.0,-374.0,1285.0
-138.0,108.0,1308.0
1289.0,-320.0,-401.0
-105.0,-87.0,394.0
655.0,-401.0,-177.0
1293.0,1511.0,1714.0
-212.0,1298.0,1519.0
-329.0,1482.0,1293.0
-250.0,150.0,1287.0
1501.0,-338.0,-356.0
-15.0,-392.0,1492.0
-374.0,111.0,392.0
-141.0,-38.0,1503.0
-87.0,1508.0,1294.0
-150.0,1499.0,1313.0
-302.0,-320.0,-238.0
1296.0,65.0,-374.0
-212.0,-293.0,1295.0
368.0,19.0,1294.0
1286.0,1492.0,1496.0
-230.0,1487.0,-392.0
-329.0,-293.0,-320.0
-392.0,1489.0,1493.0
-142.0,1322.0,1536.0
-329.0,1536.0,225.0
-267.0,1287.0,-311.0
1486.0,1495.0,-98.0
-87.0,1708.0,-87.0
-230.0,1519.0,1281.0
-212.0,-114.0,-324.0
-69.0,-58.0,1298.0
-356.0,-392.0,1493.0
-39.0,1285.0,1291.0
-338.0,1509.0,-374.0
-338.0,-185.0,1293.0
-208.0,1500.0,1516.0
1298.0,1501.0,1496.0
1295.0,1488.0,1287.0
-35.0,1265.0,176.0
-320.0,1513.0,-195.0
-212.0,1516.0,-275.0
-320.0,-356.0,1295.0
-302.0,1279.0,1291.0
1496.0,-356.0,1702.0
1293.0,-320.0,1291.0
111.0,-320.0,-105.0
-168.0,-401.0,1294.0
-87.0,1291.0,1490.0
188.0,1296.0,1529.0
-333.0,1491.0,1485.0
-497.0,1470.0,48.0
-293.0,-960.0,-330.0
452.0,1669.0,1281.0
-108.0,1272.0,1477.0
-220.0,1286.0,1342.0
-437.0,-472.0,1305.0
1310.0,-320.0,438.0
-114.0,-36.0,1494.0
243.0,-311.0,1487.0
1293.0,-320.0,1288.0
