OS-lambda-0.9,OS-lambda-0.45,OS-lambda-0.0
-338.0,1741.0,1741.0
128.0,-413.0,1856.0
-253.0,-726.0,1633.0
-516.0,-313.0,1385.0
-314.0,1209.0,1130.0
-357.0,-392.0,-31.0
-250.0,-11.0,1590.0
-182.0,-338.0,-356.0
-203.0,10.0,1406.0
-329.0,1448.0,1238.0
-402.0,-338.0,1396.0
-12.0,1313.0,-120.0
-388.0,-276.0,-101.0
-384.0,1179.0,1229.0
-2794.0,-320.0,897.0
-338.0,-186.0,1071.0
-212.0,-329.0,1198.0
-37.0,1272.0,1278.0
-116.0,1468.0,1103.0
-239.0,1316.0,1214.0
-186.0,-329.0,94.0
-289.0,-302.0,947.0
-392.0,1436.0,1180.0
-48.0,1340.0,1639.0
-392.0,1258.0,-293.0
-357.0,1593.0,1158.0
-135.0,1177.0,-168.0
-293.0,1291.0,1389.0
-239.0,1316.0,1249.0
-397.0,1477.0,-191.0
-160.0,1228.0,1387.0
-202.0,1262.0,-87.0
-282.0,996.0,1107.0
-392.0,-123.0,1688.0
-356.0,1295.0,-329.0
-75.0,1256.0,-160.0
-293.0,1235.0,1178.0
-268.0,409.0,1224.0
-203.0,1249.0,1301.0
-103.0,180.0,1485.0
-202.0,1486.0,1162.0
-71.0,-71.0,1499.0
-293.0,1141.0,55.0
-321.0,-75.0,-356.0
-239.0,-89.0,1288.0
-223.0,-311.0,-329.0
-254.0,-374.0,-311.0
-105.0,-356.0,-259.0
35.0,-36.0,-302.0
-338.0,1200.0,-329.0
-293.0,1510.0,-770.0
-356.0,1499.0,254.0
-374.0,1203.0,1103.0
-436.0,-203.0,1221.0
-212.0,1225.0,37.0
-182.0,1243.0,1263.0
-20.0,1259.0,1515.0
-1091.0,1260.0,1440.0
-293.0,182.0,954.0
-144.0,1383.0,1310.0
-338.0,1265.0,775.0
-352.0,1149.0,-21.0
-392.0,1461.0,194.0
-311.0,1097.0,1523.0
-117.0,1219.0,-392.0
-293.0,1276.0,-320.0
-176.0,1196.0,371.0
-89.0,1223.0,-27.0
-374.0,1267.0,1206.0
-261.0,404.0,1242.0
13.0,-243.0,-356.0
-392.0,1714.0,-356.0
-320.0,1523.0,1433.0
-2845.0,1725.0,1729.0
-356.0,1528.0,1522.0
-467.0,1533.0,889.0
-356.0,1524.0,-221.0
-392.0,1727.0,1345.0
-302.0,1728.0,1535.0
-235.0,-364.0,1530.0
-121.0,1295.0,-203.0
-392.0,1486.0,1526.0
-356.0,-266.0,1706.0
-356.0,1516.0,1532.0
-311.0,1523.0,-28.0
-356.0,1530.0,1709.0
-374.0,213.0,-99.0
-374.0,300.0,186.0
-407.0,-374.0,-483.0
-1008.0,1293.0,1524.0
-130.0,1926.0,-293.0
-293.0,1294.0,1716.0
-263.0,202.0,1532.0
-350.0,-117.0,1549.0
-138.0,-302.0,1533.0
-356.0,1324.0,1724.0
-3612.0,1529.0,1532.0
-600.0,1492.0,1527.0
-158.0,-329.0,1331.0
-329.0,1295.0,1733.0
-159.0,1726.0,281.0
-275.0,1327.0,-293.0
-354.0,1526.0,1530.0
-329.0,1729.0,1336.0
-99.0,1290.0,1523.0
-11.0,-329.0,-311.0
-356.0,-311.0,1524.0
-248.0,-374.0,1331.0
-329.0,1515.0,1329.0
-329.0,205.0,1526.0
-296.0,1293.0,-338.0
-293.0,-311.0,1330.0
-230.0,-329.0,1732.0
-302.0,-203.0,-15.0
-392.0,84.0,-356.0
-298.0,1495.0,140.0
-329.0,-293.0,-338.0
-338.0,-311.0,207.0
-341.0,-356.0,-320.0
-392.0,1292.0,-356.0
-338.0,-266.0,-112.0
-149.0,210.0,-392.0
-34.0,1498.0,-45.0
-266.0,1277.0,-392.0
-392.0,1285.0,-203.0
-293.0,-243.0,-293.0
9.0,1539.0,-329.0
1720.0,1531.0,254.0
-249.0,1525.0,111.0
-162.0,-359.0,-374.0
-320.0,1726.0,1293.0
-177.0,-302.0,-203.0
-356.0,1494.0,1288.0
-374.0,1308.0,101.0
-239.0,1531.0,-150.0
-417.0,1500.0,-439.0
-392.0,1284.0,-329.0
-311.0,1295.0,-329.0
-235.0,1328.0,84.0
3.0,1306.0,1295.0
1480.0,1296.0,1289.0
-338.0,1301.0,-356.0
-329.0,1291.0,-329.0
1488.0,1294.0,1480.0
27.0,1316.0,1492.0
-329.0,1496.0,1512.0
84.0,1526.0,1321.0
-97.0,-329.0,1727.0
1539.0,1712.0,171.0
-203.0,42.0,1332.0
-338.0,236.0,-356.0
-235.0,1296.0,-293.0
-183.0,-186.0,-212.0
-356.0,-356.0,1324.0
-356.0,-54.0,-302.0
1718.0,-99.0,1332.0
-311.0,-27.0,1328.0
-266.0,22.0,1531.0
-329.0,-329.0,-302.0
-320.0,1502.0,1530.0
-242.0,1293.0,-320.0
-292.0,1713.0,1747.0
-172.0,1296.0,1328.0
21.0,1494.0,1330.0
-248.0,1519.0,-338.0
188.0,1520.0,1484.0
-356.0,41.0,1332.0
-224.0,1276.0,-392.0
-356.0,1332.0,-2.0
-293.0,1338.0,1317.0
1296.0,-203.0,1272.0
-374.0,1332.0,-392.0
-320.0,-311.0,-123.0
-156.0,-356.0,-320.0
-329.0,229.0,-87.0
-338.0,-340.0,-150.0
133.0,-203.0,48.0
-329.0,-36.0,1509.0
-266.0,-311.0,1286.0
20.0,-141.0,1331.0
-378.0,1532.0,-392.0
-374.0,1721.0,1320.0
1296.0,1531.0,-347.0
-212.0,1528.0,1476.0
-159.0,1280.0,345.0
1286.0,1496.0,-132.0
-508.0,1513.0,-374.0
115.0,-24.0,1489.0
1296.0,-401.0,1301.0
1301.0,-329.0,1311.0
-320.0,1295.0,-374.0
203.0,1270.0,1288.0
-87.0,1728.0,1293.0
-41.0,1504.0,1322.0
-374.0,-356.0,1282.0
171.0,-338.0,1516.0
21.0,1531.0,1330.0
-133.0,66.0,1493.0
-356.0,1302.0,-320.0
218.0,1696.0,-159.0
-159.0,-356.0,1291.0
262.0,-329.0,1480.0
1281.0,-293.0,1294.0
-374.0,38.0,1295.0
-320.0,179.0,1285.0
-102.0,-15.0,-110.0
-311.0,1499.0,-374.0
111.0,1326.0,-320.0
-87.0,-329.0,-374.0
-311.0,-320.0,-239.0
-212.0,-320.0,-356.0
-130.0,1494.0,1283.0
-338.0,-105.0,1688.0
-293.0,1743.0,-103.0
-293.0,129.0,1285.0
-452.0,-356.0,-114.0
-419.0,-36.0,1459.0
-191.0,-392.0,1457.0
-352.0,-160.0,211.0
-2643.0,-338.0,1299.0
-193.0,-311.0,-329.0
-338.0,-156.0,1286.0
-43.0,-132.0,1512.0
1291.0,-27.0,-266.0
-293.0,1284.0,1298.0
-212.0,-392.0,-356.0
1290.0,270.0,-94.0
-392.0,-141.0,1710.0
1505.0,-338.0,1493.0
-329.0,1495.0,-392.0
-374.0,107.0,1319.0
208.0,-27.0,-150.0
-320.0,-203.0,-195.0
-320.0,1925.0,-338.0
-320.0,-392.0,-150.0
-329.0,-356.0,1484.0
-87.0,-320.0,-320.0
-356.0,-105.0,1498.0
89.0,-401.0,1716.0
-213.0,-392.0,-320.0
-577.0,84.0,1906.0
-528.0,-356.0,-126.0
