OS-lambda-0.9,OS-lambda-0.45,OS-lambda-0.0
-356.0,-932.0,-607.0
-401.0,-519.0,-2951.0
-274.0,-2134.0,-581.0
-374.0,-391.0,-532.0
-338.0,-1039.0,1786.0
-341.0,-1658.0,1444.0
-257.0,-1745.0,1231.0
-138.0,1380.0,-51.0
-124.0,-392.0,1300.0
-113.0,1404.0,1116.0
-203.0,1292.0,1588.0
-320.0,-209.0,-283.0
-338.0,1388.0,-356.0
-154.0,1237.0,-233.0
-334.0,1228.0,-418.0
-329.0,1474.0,-356.0
-320.0,-152.0,185.0
-239.0,-320.0,1220.0
109.0,-106.0,1157.0
-92.0,222.0,-356.0
-291.0,1106.0,194.0
-177.0,1033.0,1390.0
-121.0,1301.0,1493.0
-320.0,1210.0,1190.0
-293.0,1044.0,1118.0
-559.0,105.0,-141.0
-195.0,1088.0,1083.0
-162.0,1113.0,1249.0
-7.0,-374.0,-315.0
-325.0,1071.0,1262.0
-392.0,1483.0,-69.0
-87.0,1390.0,211.0
-237.0,1328.0,483.0
-124.0,1415.0,1064.0
-223.0,10.0,985.0
-216.0,1439.0,-186.0
86.0,1211.0,1518.0
-338.0,-388.0,1213.0
-133.0,1186.0,237.0
-159.0,1037.0,1168.0
-320.0,1474.0,-329.0
-198.0,1091.0,1243.0
-311.0,1239.0,-33.0
-215.0,1421.0,1279.0
-256.0,1218.0,-331.0
-320.0,-24.0,-314.0
-164.0,1297.0,-332.0
-374.0,249.0,-207.0
-963.0,1561.0,1296.0
-320.0,12.0,-230.0
-655.0,-67.0,1264.0
-257.0,1254.0,1252.0
-211.0,6.0,-148.0
-401.0,1312.0,963.0
-176.0,1296.0,-311.0
-285.0,1141.0,1493.0
-120.0,125.0,1261.0
-408.0,1394.0,1207.0
-170.0,-338.0,1147.0
-329.0,1558.0,1237.0
-203.0,1433.0,-150.0
1737.0,18.0,-298.0
-186.0,1257.0,999.0
-329.0,-122.0,1239.0
1539.0,-97.0,48.0
-338.0,-15.0,-28.0
