OS-lambda-0.9,OS-lambda-0.45,OS-lambda-0.0
-241.0,-692.0,-443.0
-161.0,-1312.0,-1219.0
-392.0,1484.0,-416.0
-320.0,1234.0,-823.0
-203.0,-311.0,1412.0
-464.0,-320.0,2035.0
-129.0,1057.0,-80.0
-311.0,-332.0,1511.0
-437.0,1276.0,348.0
-109.0,1362.0,64.0
-392.0,1408.0,-458.0
-106.0,-263.0,71.0
-356.0,-54.0,1450.0
-356.0,-392.0,1281.0
-374.0,-329.0,-221.0
-311.0,-320.0,1480.0
-716.0,70.0,-70.0
-162.0,-27.0,-11.0
-239.0,113.0,-311.0
-401.0,1479.0,-392.0
-215.0,1272.0,133.0
-145.0,1199.0,1413.0
-61.0,1229.0,-212.0
-338.0,1285.0,1678.0
-128.0,1223.0,1211.0
-154.0,101.0,-293.0
-374.0,39.0,1738.0
-392.0,1173.0,1319.0
-311.0,1149.0,3.0
-365.0,1458.0,1509.0
-329.0,46.0,-303.0
-329.0,1404.0,1540.0
-414.0,1187.0,-392.0
-203.0,1410.0,-320.0
-151.0,-213.0,-105.0
-188.0,1167.0,-115.0
-100.0,1263.0,-329.0
-233.0,-294.0,1294.0
-320.0,1544.0,-311.0
-293.0,1661.0,-195.0
-356.0,202.0,-356.0
-284.0,1448.0,1747.0
-176.0,-311.0,-320.0
-239.0,-284.0,1296.0
-197.0,-320.0,1257.0
-145.0,-353.0,1267.0
-220.0,-91.0,1536.0
-189.0,-173.0,1497.0
-141.0,-218.0,1491.0
-232.0,48.0,-353.0
-302.0,1115.0,1507.0
-54.0,-338.0,1495.0
-71.0,-506.0,-136.0
-329.0,1248.0,235.0
-370.0,1502.0,1518.0
-266.0,-150.0,1724.0
-311.0,-230.0,-329.0
-356.0,-132.0,-374.0
-392.0,-229.0,-150.0
111.0,-329.0,1332.0
-356.0,-195.0,1701.0
-233.0,-311.0,1737.0
-338.0,-356.0,-356.0
4.0,-15.0,-150.0
-356.0,-392.0,1338.0
-199.0,1308.0,1332.0
-189.0,1212.0,1730.0
-338.0,1085.0,1536.0
-108.0,1423.0,1730.0
-320.0,1224.0,1520.0
-392.0,115.0,1935.0
-132.0,-105.0,-293.0
-150.0,145.0,-186.0
-53.0,-311.0,-374.0
-407.0,1537.0,-221.0
-311.0,17.0,1295.0
193.0,1323.0,1921.0
-374.0,-320.0,1327.0
-338.0,-320.0,-392.0
-311.0,157.0,1300.0
1294.0,1531.0,1738.0
-356.0,-150.0,263.0
-356.0,1292.0,1303.0
-87.0,-114.0,1296.0
-114.0,1519.0,1515.0
-102.0,1498.0,42.0
-135.0,-147.0,-329.0
-338.0,-348.0,-141.0
-392.0,1296.0,416.0
-37.0,1296.0,1520.0
1262.0,1741.0,1706.0
-45.0,1296.0,1325.0
-186.0,1500.0,1498.0
-159.0,-223.0,-338.0
-302.0,1288.0,1491.0
-993.0,1509.0,1496.0
-701.0,228.0,-329.0
1292.0,-302.0,1489.0
197.0,-521.0,1494.0
-356.0,-338.0,1541.0
-356.0,-118.0,1498.0
-109.0,1331.0,-357.0
-174.0,-302.0,1506.0
-141.0,-87.0,1296.0
-392.0,-150.0,-329.0
1320.0,71.0,1290.0
-123.0,1297.0,1517.0
-293.0,1325.0,1518.0
-302.0,-186.0,1291.0
-109.0,-329.0,1279.0
108.0,-105.0,-221.0
-392.0,184.0,21.0
1466.0,54.0,1296.0
242.0,219.0,1296.0
-302.0,1295.0,-186.0
-123.0,-329.0,1296.0
-871.0,-293.0,1276.0
-338.0,-197.0,1731.0
-221.0,1908.0,1729.0
-356.0,1478.0,-15.0
-91.0,-122.0,1495.0
1281.0,1695.0,-320.0
258.0,-338.0,-74.0
-296.0,1349.0,1292.0
-392.0,66.0,-329.0
-392.0,-27.0,-48.0
-329.0,1515.0,1493.0
-401.0,-186.0,-290.0
-320.0,-338.0,-374.0
-392.0,-329.0,139.0
-311.0,1291.0,-266.0
-882.0,-320.0,-329.0
-288.0,-320.0,-158.0
1498.0,-135.0,454.0
-719.0,262.0,1288.0
-374.0,-374.0,-356.0
-392.0,-221.0,1296.0
-320.0,-374.0,1504.0
202.0,48.0,1293.0
-122.0,1486.0,1477.0
-105.0,-320.0,-311.0
30.0,-374.0,1693.0
-374.0,1498.0,-338.0
-392.0,-356.0,220.0
1726.0,1488.0,1289.0
