OS-lambda-0.9,OS-lambda-0.45,OS-lambda-0.0
-106.0,646.0,-320.0
-396.0,-293.0,-2078.0
42.0,-302.0,-453.0
-147.0,1262.0,1607.0
-320.0,1136.0,1269.0
-320.0,1534.0,-180.0
-320.0,-329.0,-396.0
-329.0,1116.0,-329.0
-356.0,-186.0,1465.0
-63.0,1440.0,64.0
-45.0,930.0,1184.0
1316.0,-189.0,1277.0
1532.0,-123.0,1402.0
-121.0,-240.0,1436.0
-668.0,1468.0,-109.0
-329.0,-311.0,1196.0
-241.0,1227.0,30.0
-320.0,-26.0,1239.0
-311.0,1280.0,-150.0
-329.0,1183.0,258.0
-320.0,1611.0,1049.0
-176.0,1163.0,1292.0
-186.0,1289.0,12.0
-424.0,1053.0,-186.0
-302.0,-135.0,-302.0
-329.0,46.0,72.0
-228.0,242.0,1403.0
-392.0,1481.0,-374.0
-192.0,-55.0,-114.0
-338.0,-87.0,-392.0
-190.0,1267.0,-88.0
-302.0,-36.0,-329.0
-251.0,1227.0,-168.0
-329.0,1591.0,1701.0
-329.0,-302.0,1301.0
-295.0,-329.0,1528.0
65.0,202.0,1506.0
-356.0,640.0,-313.0
-320.0,1361.0,1111.0
-300.0,1184.0,19.0
-257.0,1181.0,71.0
-135.0,1328.0,1543.0
-148.0,-228.0,1457.0
-150.0,1513.0,1215.0
-62.0,1335.0,1171.0
-108.0,1714.0,1274.0
-302.0,1708.0,-177.0
-356.0,1332.0,-689.0
-374.0,1696.0,11.0
-215.0,467.0,1335.0
-203.0,1733.0,1360.0
-338.0,1510.0,-293.0
-320.0,1497.0,1306.0
-338.0,-242.0,1458.0
-302.0,1732.0,-392.0
-329.0,-332.0,-123.0
-994.0,1289.0,1155.0
-165.0,1737.0,1239.0
-222.0,1293.0,127.0
-114.0,1291.0,1221.0
-374.0,1294.0,78.0
-302.0,-311.0,1251.0
-356.0,1298.0,1196.0
-374.0,1499.0,-317.0
-141.0,1709.0,1249.0
-388.0,1489.0,1286.0
-350.0,1293.0,1236.0
-329.0,1501.0,1289.0
-309.0,1516.0,1148.0
-229.0,-374.0,1049.0
-91.0,-329.0,1275.0
-392.0,1492.0,1496.0
-247.0,48.0,-197.0
-395.0,-401.0,-338.0
-97.0,-45.0,-35.0
-312.0,1303.0,1377.0
36.0,-302.0,-151.0
-320.0,3.0,1327.0
-257.0,-356.0,-340.0
-392.0,1319.0,-252.0
-294.0,-168.0,-176.0
-338.0,-311.0,-227.0
-129.0,1497.0,1261.0
-212.0,-241.0,144.0
-356.0,-356.0,1248.0
-460.0,-329.0,1315.0
-221.0,-356.0,1529.0
-254.0,-69.0,1746.0
-217.0,1705.0,1320.0
-277.0,84.0,1704.0
-338.0,197.0,1324.0
-374.0,-210.0,1319.0
-262.0,1273.0,1294.0
-222.0,1281.0,1300.0
-133.0,133.0,400.0
118.0,-338.0,1307.0
-374.0,1283.0,1322.0
1495.0,1325.0,1333.0
-302.0,1277.0,1495.0
1309.0,1281.0,1702.0
1295.0,1291.0,1491.0
-221.0,-32.0,-36.0
54.0,1277.0,-129.0
-658.0,-392.0,-114.0
-248.0,1285.0,1302.0
-254.0,1509.0,1288.0
-159.0,-356.0,1694.0
-302.0,1286.0,1928.0
-108.0,1500.0,-195.0
3.0,-195.0,1310.0
-114.0,1296.0,-93.0
-195.0,-293.0,1696.0
-36.0,-356.0,1494.0
1527.0,-356.0,13.0
-46.0,-356.0,1488.0
-329.0,-58.0,1739.0
-374.0,-103.0,1727.0
-341.0,1292.0,1526.0
-302.0,1299.0,-320.0
-744.0,-293.0,-293.0
-396.0,-401.0,1725.0
-242.0,-356.0,1525.0
-302.0,-356.0,1733.0
-151.0,1498.0,1539.0
