OS-lambda-0.9,OS-lambda-0.45,OS-lambda-0.0
-120.0,1534.0,-1587.0
-265.0,1707.0,-388.0
-329.0,1192.0,-885.0
-225.0,1166.0,-1133.0
-329.0,677.0,-1852.0
-34.0,-168.0,-544.0
-230.0,1261.0,-833.0
-356.0,1261.0,-706.0
-356.0,1120.0,-1226.0
-320.0,1376.0,-1068.0
-356.0,1651.0,-486.0
-374.0,46.0,1929.0
-392.0,1378.0,581.0
-327.0,1470.0,474.0
-374.0,-331.0,1701.0
-214.0,-293.0,1711.0
-230.0,-374.0,1669.0
-220.0,1170.0,-329.0
-320.0,-27.0,-311.0
-161.0,-269.0,1663.0
-157.0,1300.0,1499.0
-137.0,-356.0,-374.0
-338.0,-141.0,1506.0
-588.0,81.0,-104.0
-356.0,-221.0,-58.0
-329.0,-320.0,-293.0
-305.0,-55.0,1491.0
-392.0,159.0,1520.0
-266.0,-329.0,1690.0
-934.0,-356.0,-224.0
-221.0,1256.0,-401.0
-290.0,1010.0,-284.0
-173.0,-20.0,-230.0
-141.0,-320.0,-54.0
-216.0,-320.0,7.0
-338.0,1377.0,1497.0
-137.0,-293.0,1714.0
-112.0,-329.0,1505.0
-329.0,1271.0,-392.0
-449.0,-36.0,487.0
-338.0,-203.0,1908.0
-302.0,-338.0,1331.0
-392.0,-293.0,1302.0
-320.0,-306.0,-127.0
-302.0,-109.0,1544.0
-392.0,66.0,1281.0
-293.0,30.0,1307.0
-248.0,-392.0,1298.0
-320.0,145.0,1272.0
-392.0,-186.0,-329.0
-329.0,-329.0,-258.0
-145.0,1319.0,649.0
-374.0,-311.0,1288.0
-338.0,12.0,1486.0
-97.0,-293.0,398.0
84.0,-392.0,1496.0
-369.0,-356.0,-63.0
-338.0,-195.0,-114.0
-212.0,-356.0,-132.0
-180.0,136.0,-293.0
-395.0,1290.0,-356.0
-329.0,-392.0,-392.0
-140.0,-203.0,-159.0
-329.0,1523.0,1331.0
-239.0,1521.0,-338.0
-543.0,-209.0,1492.0
-401.0,1726.0,1298.0
-471.0,1296.0,1287.0
-100.0,-263.0,1290.0
-12.0,131.0,-170.0
-128.0,-320.0,1526.0
-191.0,-80.0,1492.0
1727.0,-320.0,-392.0
-338.0,111.0,1492.0
-118.0,-195.0,1313.0
-374.0,-75.0,1530.0
-338.0,1283.0,151.0
-329.0,-293.0,-230.0
-302.0,-329.0,-230.0
84.0,230.0,-132.0
-330.0,84.0,-36.0
-392.0,-392.0,-293.0
-392.0,37.0,-293.0
1522.0,1298.0,-356.0
-15.0,111.0,1288.0
1511.0,-293.0,1539.0
142.0,-71.0,1532.0
108.0,-356.0,-329.0
1898.0,-392.0,1317.0
-335.0,1925.0,-329.0
-293.0,1291.0,1318.0
-134.0,-392.0,1282.0
-319.0,1297.0,111.0
-302.0,1281.0,1281.0
-457.0,1307.0,-356.0
-356.0,-347.0,-374.0
102.0,-87.0,-338.0
171.0,-329.0,1318.0
-374.0,-45.0,1519.0
-374.0,-329.0,1507.0
689.0,-242.0,1495.0
1522.0,-392.0,1483.0
1732.0,1495.0,-302.0
-311.0,1295.0,1297.0
-96.0,-392.0,1522.0
-392.0,1322.0,-70.0
-311.0,-15.0,1495.0
-392.0,-36.0,1291.0
-525.0,-15.0,1705.0
-33.0,-392.0,1278.0
-204.0,1294.0,-159.0
-250.0,-114.0,-73.0
-343.0,-356.0,-392.0
-212.0,-150.0,1288.0
-222.0,-356.0,1263.0
-266.0,-69.0,6.0
-356.0,1508.0,-159.0
-487.0,1289.0,1724.0
-131.0,11.0,1502.0
-275.0,1290.0,1301.0
-273.0,1478.0,1280.0
-338.0,406.0,1524.0
-356.0,-114.0,1326.0
-132.0,1281.0,1492.0
-329.0,1293.0,-239.0
-230.0,4.0,55.0
-275.0,134.0,-30.0
-248.0,-202.0,1280.0
-320.0,1302.0,1485.0
-48.0,1293.0,1279.0
-550.0,1310.0,1287.0
-392.0,1293.0,1287.0
-320.0,1289.0,1290.0
1732.0,1517.0,1296.0
-105.0,-284.0,1504.0
-123.0,-320.0,38.0
1528.0,1310.0,1527.0
-168.0,1275.0,1321.0
-374.0,1333.0,1683.0
-233.0,1484.0,1268.0
-108.0,187.0,254.0
-320.0,1500.0,-315.0
1490.0,1305.0,1276.0
111.0,53.0,1492.0
-180.0,1293.0,-329.0
-212.0,1503.0,1258.0
-186.0,1278.0,-150.0
-54.0,1328.0,12.0
-14.0,111.0,-392.0
-392.0,-392.0,-374.0
1286.0,1289.0,35.0
-356.0,1494.0,1465.0
1294.0,1296.0,1281.0
-168.0,107.0,53.0
-329.0,1886.0,21.0
66.0,1693.0,-329.0
-123.0,1294.0,1497.0
-186.0,1300.0,-105.0
-329.0,1286.0,1314.0
1294.0,1496.0,1292.0
-320.0,-153.0,-356.0
-270.0,-293.0,1282.0
-329.0,1482.0,-221.0
-245.0,-105.0,-401.0
-87.0,69.0,1488.0
-320.0,-221.0,-230.0
-338.0,-212.0,1489.0
-356.0,1292.0,1480.0
206.0,1524.0,1487.0
1495.0,1294.0,-45.0
346.0,1313.0,-311.0
-374.0,-87.0,457.0
-36.0,-356.0,-211.0
-374.0,1489.0,95.0
1502.0,1726.0,1489.0
-195.0,-374.0,1511.0
402.0,1296.0,-71.0
-329.0,-218.0,1494.0
-87.0,-177.0,1495.0
-114.0,1296.0,-320.0
-329.0,-356.0,1292.0
-374.0,1285.0,1520.0
-329.0,-320.0,-132.0
193.0,1292.0,1535.0
-186.0,102.0,-320.0
-293.0,-69.0,1689.0
-311.0,-230.0,-293.0
180.0,102.0,5.0
-329.0,1515.0,-152.0
-466.0,-123.0,-239.0
-374.0,173.0,1688.0
-532.0,-315.0,1285.0
128.0,1291.0,-338.0
1282.0,1519.0,57.0
440.0,1301.0,159.0
1507.0,1300.0,-329.0
-392.0,1490.0,91.0
-356.0,1293.0,1332.0
-392.0,128.0,-374.0
-392.0,-356.0,-114.0
-320.0,125.0,-320.0
-374.0,-392.0,-36.0
-159.0,1485.0,-392.0
-239.0,1302.0,1541.0
449.0,1697.0,1274.0
-204.0,-356.0,1294.0
-329.0,1281.0,1290.0
-114.0,1498.0,232.0
-230.0,-356.0,1287.0
-392.0,1293.0,1472.0
-338.0,1510.0,1296.0
-263.0,-329.0,1531.0
1293.0,-186.0,1280.0
1514.0,1294.0,1491.0
-195.0,-374.0,1303.0
-230.0,-257.0,-239.0
-398.0,1321.0,1293.0
-374.0,1291.0,-109.0
-130.0,1278.0,1498.0
-111.0,1504.0,1493.0
1497.0,1487.0,193.0
-329.0,1513.0,1301.0
-126.0,1285.0,-221.0
-242.0,1298.0,-329.0
-338.0,-221.0,1480.0
336.0,-204.0,1499.0
-374.0,1496.0,-293.0
12.0,1276.0,-311.0
-320.0,1300.0,1297.0
48.0,165.0,-87.0
-87.0,1511.0,1286.0
-329.0,-203.0,-392.0
-230.0,-320.0,-168.0
-316.0,1296.0,-130.0
211.0,1524.0,1523.0
30.0,1294.0,1297.0
-356.0,-374.0,1296.0
-72.0,1286.0,-203.0
25.0,-720.0,-106.0
-311.0,689.0,-401.0
193.0,23.0,-374.0
-320.0,-195.0,1518.0
-212.0,-311.0,211.0
-221.0,1739.0,-356.0
-311.0,1506.0,-374.0
-25.0,53.0,21.0
-374.0,-338.0,-329.0
27.0,84.0,-195.0
-338.0,1478.0,-356.0
-392.0,-329.0,-230.0
16.0,-266.0,1719.0
1298.0,404.0,-281.0
-203.0,193.0,1309.0
-320.0,-392.0,1291.0
-87.0,1289.0,1277.0
-329.0,1296.0,1293.0
84.0,1496.0,1297.0
1296.0,1288.0,238.0
-258.0,1489.0,1317.0
-293.0,-407.0,1284.0
-72.0,1271.0,1515.0
-392.0,1685.0,-320.0
-196.0,1502.0,21.0
-78.0,30.0,26.0
-338.0,-329.0,1736.0
3.0,-392.0,1293.0
-69.0,-293.0,-338.0
-293.0,-54.0,-329.0
-311.0,-311.0,-87.0
-69.0,-329.0,-329.0
-320.0,-329.0,1291.0
252.0,220.0,1289.0
403.0,-329.0,1507.0
1500.0,1699.0,1736.0
79.0,-320.0,-329.0
-268.0,-320.0,1273.0
