OS-lambda-0.9,OS-lambda-0.45,OS-lambda-0.0
-221.0,1520.0,1525.0
-304.0,1488.0,232.0
1332.0,1270.0,-405.0
-37.0,46.0,1233.0
-293.0,720.0,-356.0
-193.0,1181.0,-298.0
-153.0,1580.0,-65.0
-121.0,-257.0,-131.0
-290.0,1288.0,1110.0
-320.0,-207.0,1281.0
-261.0,1117.0,1590.0
-293.0,-311.0,-79.0
-167.0,1253.0,136.0
-132.0,1433.0,1283.0
-329.0,1189.0,76.0
-297.0,-220.0,1143.0
-338.0,136.0,1177.0
-320.0,-45.0,1245.0
-401.0,1299.0,1256.0
-197.0,264.0,-338.0
-362.0,1091.0,-81.0
-374.0,-356.0,1338.0
-158.0,-159.0,1069.0
-534.0,-117.0,1258.0
-172.0,-320.0,-320.0
-221.0,1392.0,213.0
-335.0,-15.0,1286.0
-320.0,-302.0,1443.0
-311.0,-329.0,-126.0
-221.0,-201.0,866.0
-221.0,-329.0,1254.0
-356.0,-883.0,1158.0
-146.0,1467.0,1621.0
-257.0,-311.0,1244.0
-274.0,-257.0,1321.0
-293.0,-356.0,-89.0
-320.0,1003.0,12.0
-374.0,-329.0,-257.0
-163.0,-392.0,1643.0
-374.0,-320.0,1294.0
-356.0,1474.0,-266.0
-311.0,-311.0,1279.0
-151.0,-374.0,1470.0
-356.0,1288.0,1533.0
-330.0,964.0,1334.0
-247.0,-492.0,1280.0
-199.0,-320.0,1257.0
-214.0,-356.0,1283.0
-77.0,-54.0,1298.0
-166.0,-356.0,1288.0
-311.0,-71.0,-338.0
-153.0,-203.0,1488.0
-1265.0,-2.0,-69.0
-126.0,-114.0,1283.0
-599.0,-320.0,1497.0
-169.0,-374.0,1287.0
-190.0,-123.0,-232.0
-302.0,1319.0,1281.0
-329.0,-114.0,-295.0
-338.0,-266.0,1288.0
-345.0,-311.0,1488.0
-293.0,-320.0,1489.0
-217.0,-329.0,1336.0
1291.0,-210.0,1537.0
-320.0,1243.0,1275.0
-177.0,1361.0,1291.0
-311.0,1103.0,-15.0
-311.0,42.0,-171.0
-429.0,1665.0,1335.0
-356.0,1484.0,-324.0
-714.0,-87.0,1308.0
-171.0,-329.0,-338.0
-374.0,-329.0,33.0
-139.0,1719.0,1330.0
-79.0,1328.0,1513.0
-320.0,-320.0,-15.0
-356.0,-41.0,-203.0
-356.0,-356.0,404.0
1485.0,-48.0,1519.0
-392.0,-320.0,1506.0
1296.0,-293.0,1299.0
1293.0,-293.0,1319.0
-392.0,-231.0,-485.0
-257.0,1300.0,1295.0
165.0,-356.0,1289.0
-15.0,1734.0,1284.0
-114.0,1296.0,400.0
1513.0,-239.0,1719.0
-283.0,1310.0,1332.0
-132.0,1293.0,1516.0
1534.0,-320.0,696.0
163.0,501.0,1533.0
1498.0,-248.0,-230.0
-320.0,1287.0,1502.0
-311.0,-221.0,1287.0
1509.0,1327.0,1295.0
-132.0,-338.0,1482.0
-103.0,-329.0,-329.0
-212.0,1318.0,1290.0
-329.0,1522.0,1284.0
-311.0,-102.0,1529.0
1508.0,-320.0,136.0
-401.0,-257.0,1318.0
-87.0,1294.0,-212.0
-287.0,-203.0,1697.0
-320.0,1309.0,1291.0
-392.0,-195.0,1502.0
-23.0,1293.0,190.0
-221.0,1315.0,1701.0
1497.0,-374.0,1490.0
-293.0,1266.0,-239.0
1496.0,-338.0,1292.0
-132.0,-338.0,1496.0
-329.0,1478.0,1282.0
-239.0,1290.0,1502.0
1491.0,1493.0,1723.0
1509.0,1293.0,1488.0
-150.0,114.0,66.0
-33.0,1277.0,-392.0
-203.0,1516.0,1307.0
-392.0,-257.0,1518.0
-338.0,465.0,116.0
-230.0,95.0,1332.0
-182.0,-15.0,1482.0
-392.0,-374.0,1491.0
-374.0,-186.0,1515.0
-186.0,1293.0,1293.0
-374.0,1278.0,-311.0
-54.0,5.0,-108.0
-230.0,1526.0,237.0
-295.0,1516.0,27.0
-403.0,1303.0,-392.0
-236.0,-338.0,1498.0
1489.0,1288.0,265.0
-230.0,-114.0,1289.0
-207.0,145.0,-356.0
-229.0,-168.0,1292.0
-228.0,155.0,250.0
-401.0,-302.0,-320.0
1687.0,-302.0,1495.0
16.0,-374.0,1315.0
-347.0,145.0,1734.0
-221.0,1495.0,1491.0
1289.0,1288.0,-356.0
-374.0,-183.0,1287.0
-338.0,1296.0,1297.0
-356.0,29.0,-197.0
1491.0,-302.0,1293.0
-356.0,-257.0,1273.0
-293.0,-392.0,1706.0
-320.0,-135.0,-212.0
1492.0,1304.0,1712.0
-293.0,1295.0,1282.0
-320.0,1294.0,1474.0
139.0,1281.0,12.0
-356.0,-293.0,1472.0
-293.0,1276.0,1288.0
163.0,-203.0,-230.0
-186.0,1291.0,12.0
-374.0,1276.0,1492.0
-392.0,171.0,1283.0
-14.0,1294.0,-160.0
-295.0,1539.0,-356.0
-320.0,1518.0,-329.0
-225.0,-320.0,-221.0
-284.0,-311.0,-392.0
-374.0,-338.0,-374.0
-338.0,1506.0,1295.0
-239.0,1283.0,1287.0
-374.0,1497.0,-221.0
