OS-lambda-0.9,OS-lambda-0.45,OS-lambda-0.0
-275.0,-483.0,-556.0
-311.0,1870.0,-400.0
-413.0,1136.0,-291.0
1534.0,1160.0,-405.0
-32.0,-329.0,-541.0
48.0,-320.0,-504.0
-488.0,-329.0,1651.0
28.0,-275.0,-75.0
-285.0,1228.0,1414.0
-329.0,-293.0,84.0
1332.0,1274.0,1676.0
1332.0,1363.0,1141.0
1732.0,128.0,999.0
-221.0,12.0,1193.0
-221.0,-374.0,1164.0
-329.0,-156.0,-293.0
-155.0,-320.0,-329.0
-320.0,-374.0,1276.0
-195.0,1001.0,1417.0
28.0,-141.0,-311.0
-374.0,190.0,1202.0
-477.0,-356.0,1185.0
-105.0,-121.0,1320.0
-294.0,1024.0,1217.0
-203.0,1287.0,1130.0
-311.0,-302.0,81.0
-329.0,12.0,1634.0
-302.0,-338.0,1250.0
-72.0,-356.0,-36.0
-293.0,-392.0,-320.0
1532.0,17.0,-311.0
-311.0,-392.0,13.0
-117.0,12.0,1235.0
-1020.0,1193.0,1195.0
-392.0,1300.0,1270.0
-293.0,1380.0,-320.0
-311.0,226.0,1213.0
-376.0,191.0,1502.0
-392.0,1490.0,1279.0
-294.0,1477.0,-374.0
-161.0,1229.0,-374.0
-401.0,1172.0,1219.0
-257.0,224.0,1248.0
-230.0,1312.0,58.0
-320.0,1208.0,1216.0
-329.0,1181.0,221.0
-392.0,239.0,1532.0
-356.0,-86.0,-136.0
-293.0,1104.0,1172.0
-146.0,-141.0,1427.0
-169.0,1186.0,1329.0
-311.0,253.0,136.0
-257.0,1279.0,1461.0
-374.0,12.0,1283.0
-182.0,958.0,-221.0
-320.0,1090.0,102.0
-125.0,1433.0,-4.0
-203.0,1215.0,1252.0
-329.0,16.0,1278.0
-356.0,-168.0,74.0
-309.0,1498.0,-106.0
-392.0,-338.0,-293.0
-243.0,-392.0,1498.0
-185.0,-338.0,1309.0
-392.0,-97.0,1491.0
-338.0,10.0,1309.0
-356.0,-392.0,143.0
