OS-lambda-0.9,OS-lambda-0.45,OS-lambda-0.0
13.0,1939.0,-418.0
30.0,-338.0,-524.0
-104.0,166.0,1330.0
-329.0,-356.0,1398.0
-118.0,-374.0,706.0
-168.0,-14.0,-319.0
-218.0,117.0,110.0
-320.0,-392.0,267.0
-139.0,-392.0,1434.0
-212.0,-1123.0,1198.0
-302.0,-374.0,1466.0
-418.0,-114.0,920.0
-293.0,1205.0,-303.0
-359.0,1182.0,1390.0
-292.0,1330.0,1483.0
-220.0,1238.0,1093.0
-239.0,1178.0,1380.0
-431.0,1207.0,1413.0
-356.0,1226.0,1451.0
-302.0,1209.0,180.0
-338.0,1700.0,1425.0
-506.0,1047.0,1200.0
-356.0,57.0,839.0
-320.0,124.0,-522.0
-356.0,-356.0,-331.0
-356.0,183.0,1380.0
-303.0,-356.0,1274.0
-186.0,-356.0,1042.0
-320.0,-203.0,1318.0
-182.0,-121.0,124.0
-360.0,1664.0,1155.0
-280.0,-374.0,1226.0
-321.0,-356.0,1193.0
-264.0,-195.0,-106.0
-141.0,-79.0,1213.0
-302.0,1240.0,1402.0
-325.0,1411.0,1161.0
-356.0,-302.0,1283.0
-628.0,-209.0,-314.0
-197.0,-36.0,-195.0
-293.0,1339.0,-338.0
-521.0,-150.0,1451.0
-392.0,-168.0,-329.0
-376.0,-87.0,-239.0
-200.0,1165.0,1238.0
-202.0,-338.0,188.0
-320.0,-320.0,-338.0
-161.0,-168.0,-32.0
-275.0,-392.0,189.0
-46.0,-392.0,-338.0
-200.0,-169.0,-230.0
-120.0,953.0,-329.0
-392.0,1287.0,1169.0
-392.0,143.0,-290.0
-347.0,-257.0,195.0
-356.0,1434.0,1156.0
-356.0,1403.0,1411.0
-311.0,265.0,1465.0
-16.0,1243.0,-132.0
-79.0,1203.0,-329.0
-211.0,1073.0,84.0
-32.0,1464.0,1535.0
-206.0,1187.0,1497.0
-356.0,1278.0,-356.0
-496.0,1377.0,-108.0
-160.0,1527.0,-338.0
-230.0,-312.0,1718.0
-293.0,1495.0,1328.0
-291.0,1728.0,1730.0
-392.0,1517.0,1740.0
-34.0,1531.0,1448.0
-338.0,200.0,1310.0
-338.0,1527.0,1278.0
-293.0,1727.0,-392.0
